frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
225712	<br>	0	0	0	https://alfahir.hu/mi_szallithatunk_eloszor_az_oroszoknak_arut https://alfahir.hu/2020/07/11/mta_kutatohalozat_kormanyhatarozat https://alfahir.hu/be_kell_tiltani_a_hagyomanyos_csaladmodellrol_szolo_konyveket-20121110 https://alfahir.hu/itt_van_a_kampanyidoszakban_hirdeto_sajtotermekek_listaja https://alfahir.hu/b%C3%A9k%C3%A9t_k%C3%ADv%C3%A1nt_szerb_eln%C3%B6k_koszov%C3%B3_minden_lakos%C3%A1nak-20120107	null	default
13494	<img height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0	0	0	https://alfahir.hu/2013/05/27-42 https://alfahir.hu/nem_lehet_kikapcsolni_az_%C3%A1ramot_egyes_k%C3%B6zint%C3%A9zm%C3%A9nyekben-20120101 https://alfahir.hu/2013/06/15-36 https://alfahir.hu/a_kormany_ujravalasztasat_erinto_legveszelyesebb_hir https://alfahir.hu/osszehangolt_akcioval_iktattak_ki_az_aramtolvajokat_tiszaburan	media_hivatkozas	src
14138	<img alt=@alt height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0	0	0	https://alfahir.hu/emlekeztek_a_felvideken_ezert_torpeminoritas_ott_a_magyar-20130213 https://alfahir.hu/szab%C3%A1lytalans%C3%A1gok_mag%C3%A1nklinik%C3%A1kon-20120201 https://alfahir.hu/m%C3%A9g_mindig_m%C3%A1rk%C3%A1ban_sz%C3%A1mol_n%C3%A9metek_t%C3%B6bbs%C3%A9ge-20120102 https://alfahir.hu/indul_a_nepbutitas_sulyos_milliokbol_lopnak_be_az_emberek_szivebe_az_eu_t-20130109 https://alfahir.hu/provokacio_es_eroszak_a_homoszexualis_vonaglason	media_hivatkozas	src
4089	<iframe frameborder=@NUM height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0	0	0	https://alfahir.hu/a_fidesz_ozdon_is_bevetette_a_fasy_mulatot_video https://alfahir.hu/miskolci_ciganykozpont_a_fideszt_nem_erdekli_mit_akar_a_varos-20130121 https://alfahir.hu/kiosztottak_az_antifasiszta_tuntetot_a_ciganyok_pecsett-20120724 https://alfahir.hu/elhunyt_a_magyar_vilagbajnok_oklozok_edzoje https://alfahir.hu/toborzo_a_marcius_15_ei_jobbik_nagygyulesre	beagyazott_tartalom	src
5338	<div class=field field-name-field-media-image>	0	1.881228925	0	https://alfahir.hu/2021/10/26/nemetorszag_bundestag_angela_merkel_olaf_scholz https://alfahir.hu/2019/05/05/anyak_napja_fidesz https://alfahir.hu/2019/09/12/kannabisz_barlang_kabitoszer_bunugy https://alfahir.hu/2021/02/07/koronavirus_nemzeti_nepegeszsegugyi_kozpont_vilagjarvany_oltas https://alfahir.hu/2020/12/26/koronavirusjarvany_vakcina_delpesti_centrumkorhaz_valyinagy_istvan_szlavik_janos_kertesz	media_tartalom	default
1201	<a class=colorbox data-cbox-img-attrs=@LONG data-colorbox-gallery= href=@LINK target=@target title=@title>	0	1	0	https://alfahir.hu/2021/08/08/olimpia_tokioi_olimpia_japan_hosszu_katinka_szilagyi_aron_sport_nob_lelato?page=9 https://alfahir.hu/2021/07/08/taser_sokkolo_rendorseg https://alfahir.hu/2019/06/29/budapest_ellenforradalom_1919_junius_24_ludovika_lemberkovics_jeno_honig_vilmos https://alfahir.hu/2020/07/08/szinhaz_es_filmmuveszeti_egyetem_brfk_tulbiztositas_demonstracio_tiltakozas https://alfahir.hu/2021/10/13/velenceito_velenece_korzo_gerhard_akos_polgarmester_gomi_kft_berenyi_csaba_lakossagi	unwrap	default
13909	<img alt=@alt class=img-responsive height=@STYLE src=@LINK width=@STYLE>	0	0	0	https://alfahir.hu/2017/07/07/atomfegyverek_megallapodas_atomcsend_beke https://alfahir.hu/2019/07/18/jobbik_szeretetszolgalat_alapitvany_torokszentmiklos_hurra_nyaralunk_jotekonysag https://alfahir.hu/a_tortenelem_irasbelikkel_folytatodnak_a_vizsgak https://alfahir.hu/koka_szerint_nem_mindegy_hogy_lopott_vagy_versenypiacon_megkeresett_penzbol_helikopterezunk https://alfahir.hu/nem_kell_a_magyar_busz_a_volanbusznak	media_hivatkozas	src
1290	<iframe allow=encrypted-media allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0	0.002325581395	0	https://alfahir.hu/2019/10/21/stummer_janos_jobbik https://alfahir.hu/2019/06/13/budapesti_allatkert_teknosok_allatkinzas_termeszetvedelem https://alfahir.hu/2018/06/06/3_as_metro_rozsda_felujitas https://alfahir.hu/2020/08/04/magyar_tudomanyos_akademia_eotvos_lorand_kutatasi_halozat_kutatas_kutatasi_penzek https://alfahir.hu/2020/09/18/gottsegen_gyorgy_orszagos_kardiologiai_intezet_maszk_jarvany_koronavirus	beagyazott_tartalom	src
10381	<img alt=@alt src=@LINK style=@STYLE>	0	0	0	https://alfahir.hu/2017/06/30/parizs_franciaorszag_utazas https://alfahir.hu/piaf_show_edith_piaf_eredeti_francia_produkcioja_budapestre_erkezik https://alfahir.hu/novak_elod_meghivasara_egy_olimpiai_bajnok_tart_eloadast https://alfahir.hu/rakaptak_az_autosok_az_egri_kerekparutra https://alfahir.hu/szekelyfoldre_latogatott_nagy_britannia_bukaresti_nagykovete	media_hivatkozas	src
600	<iframe allowtransparency=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0	0.003333333333	0	https://alfahir.hu/2017/07/01/semmelweis_nap_jobbik_it_uzenet https://alfahir.hu/2017/01/26/jobbik_lukacs_gyorgy_heller_agnes_kommunizmus https://alfahir.hu/2018/03/11/lazar_janos_kastely_hodmezovasarhely_batida https://alfahir.hu/a_dk_szerint_orban_viktor_miatt_okoznak_balesetet_a_reszeg_biciklisek https://alfahir.hu/hatezer_oka_van_a_szent_janos_korhaz_megmaradasanak	beagyazott_tartalom	src
