frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
3388892	<picture>	0	3.747595969	0	https://www.blikk.hu/sztarvilag/sztarsztorik/koronavirus-vendeglatohelyek-segitseg-tamogatas-gianni-annoni/xs2mhym https://www.blikk.hu/sztarvilag/sztarsztorik/fiatal-lanyok-csabitjak-randira-a-jokepu-x-faktorost/j11ngr1 https://www.blikk.hu/aktualis/nott-a-villamosenergia-felhasznalas-2014-ben/8g1eq1c https://www.blikk.hu/sport/rubi-a-levante-uj-vezetoedzoje/q5jyytw https://www.blikk.hu/eletmod/tudtadallergias-reakciot-valthat-ki-ennek-a-hetkoznapi-fuszernek-az-illoolaja/3k9n993	media_tartalom	default
2535271	<figure>	0	5.033488333	0	https://www.blikk.hu/aktualis/krimi/segitsen-megtalalni-eltunt-egy-50-eves-encsi-no/zxxh62x https://www.blikk.hu/sztarvilag/sztarsztorik/rubint-reka-mikulas-ajandek-ekszer-mikulas/k4c1wkh https://www.blikk.hu/sztarvilag/filmklikk/berlinale-mozi-visszateres-fesztival-volt-vezeto-dieter-kosslick/z59wx88 https://www.blikk.hu/aktualis/elkaptak-a-becsi-metro-remet/z322csy https://www.blikk.hu/sport/magyar-foci/a-videoton-fiatalja-dzsudzsakek-peldajat-kovetheti/c0efk9t	media_tartalom	default
2535271	<a class=@aspectRatioNUM position-relative overflow-hidden href=@LINK target=@target title=@title>	0	4.033488333	0	https://www.blikk.hu/eletmod/tippek/ezek-a-legnehezebben-betarthato-ujevi-fogadalmak/7dnf7wz https://www.blikk.hu/sztarvilag/sztarsztorik/igy-ment-ferjhez-meghan-markle/zmzgfct https://www.blikk.hu/sztarvilag/sztarsztorik/muri-eniko-dramai-vallomasa-az-operacio-utan-adtam-idot-magamnak-hogy-meggyaszoljam-a/xprrj5w https://www.blikk.hu/sport/mindent-bele/kvangdzsu-vizes-vb-magyarorszag-ausztralia-montenegro-ferfi-vizilabda/4bm4v1m https://www.blikk.hu/sztarvilag/kultura/videosuli-5-evfolyam-nyelvtan-a-szavak-szerkezete/5rd0z6p	hivatkozas	href
2535268	<source data-srcset=@LONG type=image/webp>	0	0.08050036525	0	https://www.blikk.hu/aktualis/kulfold/elkepeszto-mit-muvelnek-a-bikaval-a-gyerekek-video/16nh6fl https://www.blikk.hu/aktualis/politika/kovacs-bela-ugyeszseg-fegyhaz/fb31bkj https://www.blikk.hu/sztarvilag/szulak-andrea-nem-a-papir-szamit/ds9tm5z https://www.blikk.hu/auto/teszt/elkepeszto-video-igy-veszi-a-suzuki-swift-a-hegyi-szerpentin-kanyarjait/030kygv https://www.blikk.hu/eletmod/egeszseg/pollenszezon-elkezdodott-allergia-szakember-tippek-tanacsok-egeszseg/38g08tk	null	default
2535250	<source data-srcset=@LONG type=image/jpeg>	0	0.0402504684	0	https://www.blikk.hu/sztarvilag/sztarsztorik/balint-gazda-temetes-julius-14-en-kedden-11-orakor-fiume-uti-sirkert/cf74lrb https://www.blikk.hu/aktualis/ok-a-foldkerekseg-legbefolyasosabb-asszonyai/9g7y5m6 https://www.blikk.hu/aktualis/kigyulladt-egy-idosek-otthona-a-komi-koztarsasagban/chhbb27 https://www.blikk.hu/eletmod/egeszseg/megfogadta-ujevkor-hogy-valtoztat-az-eletmodjan-ezt-el-kell-olvasnia/ndbl585 https://www.blikk.hu/aktualis/kigyulladt-egy-csaladi-haz-pomazon/2ww9rcl	null	default
2450369	<img alt=@alt class=lazyload @NUM data-src=@LINK type=image/jpeg>	0	0	0	https://www.blikk.hu/aktualis/belfold/kutba-esett-egy-idos-ferfi-felsobukben/3kcrr04 https://www.blikk.hu/egyuttmukodest-kert-a-kormanyfo/tznfte4 https://www.blikk.hu/aktualis/krimi/igy-csapott-le-a-tek-ezek-a-legdurvabb-helyszini-fotok-a-terez-koruti-robbanto/qeqtgv5 https://www.blikk.hu/sztarvilag/filmklikk/jobaratok-reunion-folytatas-elso-elozetes/8h49sbm https://www.blikk.hu/aktualis/belfold/visszater-a-tavaszias-ido-23-fok-lesz-a-homerseklet/08vj84y	media_hivatkozas	data-src
1679893	<source media=@STYLE srcset=@LONG type=image/webp>	0	4.603753334	0	https://www.blikk.hu/christina-aguilera-narancsot-szed/g7qsdp1 https://www.blikk.hu/aktualis/belfold/malev-praga-40-eve-baleset-betonnak-csapodott-repulogep-csoda-tulelte-mindenki/nh0nk2y https://www.blikk.hu/sport/magyar-foci/elmarad-a-foci-valogatott-sorsdonto-bulgariai-meccse/ndtz6kd https://www.blikk.hu/aktualis/dobbenet-ketmeteres-tengeri-szornyet-fogtak-fukushimanal/s1dw9jp https://www.blikk.hu/aktualis/melegszex-aldozata-lett-a-latexes-ferfi/ddnq3zz	null	default
1679890	<source media=@STYLE srcset=@LONG type=image/jpeg>	0	1.841498551	0	https://www.blikk.hu/sztarvilag/sztarsztorik/mi-tortenhetett-aggaszto-fotot-posztolt-toth-vera-a-traumatologiarol/3l1w95m https://www.blikk.hu/sztarvilag/tobb-napig-unnepelt-a-30-eves-dukai/ezgbnvm https://www.blikk.hu/sport/horvath-edzo-marad/p324d06 https://www.blikk.hu/sport/f1-es-sztrajkra-keszulhetnek-a-pilotak/52qt0r7 https://www.blikk.hu/aktualis/krimi/budapest-adathamisitas-draga-mobiltelefonok-rendeles-csalas/kf37wkn	null	default
887717	<div class=@NUM text-center @NUM ibb-banner-decor bannerDesktopContainer stickyContainer id=@NUM style=@STYLE>	0	0	0	https://www.blikk.hu/sztarvilag/sztarsztorik/katy-perry-nem-megy-ferjhez-tobbe/3k3hc86 https://www.blikk.hu/aktualis/krimi/tobb-ezer-loszert-es-fegyvereket-talaltak-egy-debreceni-hazban-fotok/w0f65ks https://www.blikk.hu/sztarvilag/hargitai-bea-a-domina/1lxrgwv https://www.blikk.hu/aktualis/tuntettek-a-marihuanafogyasztas-legalizalasaert/1tdhnzg https://www.blikk.hu/sztarvilag/sztarsztorik/shane-tusup-kviz-lagzi-lacsji-szabo-zsofi-vajna-timi-kajdi-csaba/7zl2w20	decompose	default
587308	<source data-srcset=@LONG media=@STYLE>	0	2.435391651	0	https://www.blikk.hu/sztarvilag/sztarsztorik/szabo-dori-valtja-varkonyi-andreat-breaking-life-tv/xmp34kv https://www.blikk.hu/aktualis/kulfold/szexualis-zaklatassal-vadoljak-az-amerikai-elnokot-courtney-friel/edlpq7b https://www.blikk.hu/aktualis/kulfold/baguette-unesco-vilagoroksegi-lista/j2lbm6x https://www.blikk.hu/sport/ronaldinho-bevaltotta-igeretet/zpe8fv1 https://www.blikk.hu/aktualis/megdobbentek-szeremley-huba-ismerosei/yh6lxs2	null	default
545799	<div class=@NUM text-center @NUM ibb-banner-decor bannerDesktopContainer stickyContainer @footballOfferNUM id=@NUM style=@STYLE>	0	0	0	https://www.blikk.hu/sztarvilag/sztarsztorik/kovacs-patricia-bevallotta-ket-es-fel-evig-szoptatta-a-kislanyat/m41wsz4 https://www.blikk.hu/sztarvilag/sztarsztorik/igy-bucsuzik-a-madach-szinhaz-paudits-belatol/cc0z90l https://www.blikk.hu/aktualis/belfold/pest-megye-negy-ferfi-ket-kollega-emberrablas-veres-gumilovedek-vademeles/y7f50s9 https://www.blikk.hu/sztarvilag/paris-hilton-egy-disznoval-hal/yq6f37x https://www.blikk.hu/aktualis/politika/orban-viktor-varpalotai-elkerulo-ut-8-as-fout-migrans/d1vqlvn	decompose	default
399270	<img alt=@alt class=@NUM @NUM @NUM loading=lazy src=@LINK type=image/jpeg>	0	0	0	https://www.blikk.hu/sztarvilag/sztarsztorik/igy-emlekeznek-baratai-a-fiatalon-meghalt-magyar-enekesnore/m1kslml https://www.blikk.hu/aktualis/belfold/betort-egy-lakasba-zamardiban-a-ferfi-majd-elaludt/t6e1q4b https://www.blikk.hu/sztarvilag/ok-az-igazi-hollywoodi-balfekek/mwtjj6w https://www.blikk.hu/sport/kulfoldi-foci/kiszivargott-o-nyeri-majd-az-idei-aranylabdat/pvzbxrn https://www.blikk.hu/sport/a-6-milliardert-vett-neuer-potyagolja/nf0rlsh	media_hivatkozas	src
380736	<a class=d-block @aspectRatioNUM data-lightbox=@LINK data-title=@title href=@LINK>	0	8	0	https://www.blikk.hu/aktualis/belfold/szekesfehervari-birosag-alkotmanybirosag-hajlektalantorveny/1yrw82r https://www.blikk.hu/aktualis/belfold/tragedia-vonatbaleset-tapolca-temetes-video/x8ezs3p https://www.blikk.hu/aktualis/ket-milliot-fizethet-amiert-lemelegezte-a-fideszes-kocsis-matet/9zzy507 https://www.blikk.hu/sztarvilag/sztarsztorik/fortelmes-napokon-van-tul-fuldoklott-a-korhazban-sebestyen-balazs/gvtdjs8 https://www.blikk.hu/aktualis/kulfold/hat-gyermekevel-indult-el-az-ego-toronyhazbol-neggyel-jutott-ki/3g13qlx	hivatkozas	href
293654	<img alt=@alt class=@NUM @NUM mobilePadding lazyload data-src=@LINK>	0	0	0	https://www.blikk.hu/sztarvilag/sztarsztorik/kulisszatitkok-a-hiressegek-magyarorszagi-kiruccanasairol/hg933yg https://www.blikk.hu/eletmod/tippek/ha-bulit-tartunk-a-hetvegen-ez-fontos-most-megtudhatja-mit-milyen-poharban-talaljon/xtr06wz https://www.blikk.hu/aktualis/belfold/meg-juniusban-tunt-el-a-38-eves-kecskemeti-no/bk4scbq https://www.blikk.hu/aktualis/jarvany-dul-az-oceanjaron/zlfjfh3 https://www.blikk.hu/auto/megjelent-az-auto-bild-aprilisi-szama/67zweht	media_hivatkozas	data-src
293003	<a data-lightbox=@LINK data-title=@title href=@LINK>	0	1	0	https://www.blikk.hu/aktualis/paradicsom-nott-a-villamossinek-kozott-foto/3zjvb6r https://www.blikk.hu/aktualis/kulfold/rejtelyes-regi-penztarcat-talaltak-a-klub-felujitasakor/nsndt1r https://www.blikk.hu/sport/egyeni/uszobotrany-mar-az-edzok-sem-kernek-a-szovetsegbol/ft6g9kz https://www.blikk.hu/eletmod/szoros-dogos-bor-vagy-pink-a-legjobb-telikabatok/9pexr9j https://www.blikk.hu/sport/gera-visszatert-a-valogatottba/mmq1qf4	hivatkozas	href
160697	<figure class=imageContainer justify-content-center position-relative d-flex @NUM @NUM @NUM @NUM>	0	9	0	https://www.blikk.hu/aktualis/belfold/baleset-nyarlorinc-kozeleben-44-es-fout-halalos-baleset/b1jc6d1 https://www.blikk.hu/igy-szuretelik-a-chilit-galeria/r9yqrzh https://www.blikk.hu/kelemen-anna-visszatert-igy-meg-nem-latta-az-fix/qwsm3f5 https://www.blikk.hu/oroszlanok-testkozelbol/vpqt3c0 https://www.blikk.hu/az-orosz-kim-kardashian-anastasia-kvitko/kmegym8	media_tartalom	default
160697	<a data-alt= data-lightbox=@LINK data-title=@title href=@LINK>	0	8	0	https://www.blikk.hu/aktualis/belfold/kiszakadt-az-erkelykorlat-a-harminckettesek-teren-ketten-lezuhantak-fotok-a/pkpj39v https://www.blikk.hu/aktualis/veszhelyzet/a-franciaknak-sem-kegyelmez-az-ozonviz-kepek/4w6lz9t https://www.blikk.hu/farmerben-feszitenek-a-mav-mozdonyvezetoi/nl02qw2 https://www.blikk.hu/kinaban-romboltak-le-egy-feluljarot-kotrogeppel/bk3p9r4 https://www.blikk.hu/ezrevel-menekulnek-az-emberek-moszul-kornyekerol/snmlct9	hivatkozas	href
160697	<img alt=@alt class=img-fluid w-auto height=@STYLE loading=lazy src=@LINK srcset=@LONG type=image/jpeg width=@STYLE>	0	0	0	https://www.blikk.hu/galeria/sugarhajtasu-ruha-hadsereg-bemutatas/227h4vf https://www.blikk.hu/galeria/hazahoztak-a-16-veronai-aldozat-holttestet-a-honvedkorhazba-fotok/59s2tdc https://www.blikk.hu/mtv-music-awards-2017/ev6f8t7 https://www.blikk.hu/galeria/csodalatok-termeszet-fotok-a-fold-napja-alkalmabol/xlkjwb8 https://www.blikk.hu/europa-legjobb-allatkertje-lett-sajat-kategoriajaban-a-nyiregyhazi-allatpark/lgxsvwh	media_hivatkozas	srcset
160521	<span class=galleryImageItem pagina data-image-number=@NUM id=@NUM>	0	0	0	https://www.blikk.hu/sztarvilag/filmklikk/bujtor-istvan-pogany-madonna-forgatasi-titkok-hernadi-judit-kern-andras/c0e84lv https://www.blikk.hu/lucy-hale-mellbimbo-meztelen-szexjelenet-dude-sorozat/ztxlm7j https://www.blikk.hu/aktualis/politika/ader-janos-nemzetkozi-eucharisztikus-kongresszus-hit-beszed/hv6s7r3 https://www.blikk.hu/tamogatast-kapott-a-magyar-gyermekonkologiai-halozat/b8welqt https://www.blikk.hu/galeria/dramai-kepek-a-coloradoi-iskolai-lovoldozesrol/y7b2zfj	null	default
84902	<span class=adultContentCover>	0	0	0	https://www.blikk.hu/sztarvilag/szexi/erotikus-tanc-szexi-vv-reni-valovilag/8vfhrjh https://www.blikk.hu/szikora-melinda-a-debrecen-ellen-talalt-be/zve1byw https://www.blikk.hu/aktualis/mar-a-sikloernyo-is-szimulalhato/0pwygdf https://www.blikk.hu/aktualis/aszpirinnel-a-szivroham-ellen/5jn796p https://www.blikk.hu/aktualis/rendort-rugott-meg-egy-no/ks3jjcl	null	default
84902	<img alt=@alt class=lazyload @NUM bluredImage data-src=@LINK type=image/jpeg>	0	0	0	https://www.blikk.hu/aktualis/kulfold/kiadtak-a-figyelmeztetes-terrortamadas-varhato-europaban/dx6kstl https://www.blikk.hu/aktualis/belfold/bkk-caf-villamos-uzembe-helyezes/gk3gewj https://www.blikk.hu/aktualis/kulfold/szexualis-eroszakkal-vadoljak-az-illegalisan-mukodo-ortodox-zsido-iskolakat/vr3wmt1 https://www.blikk.hu/aktualis/zebran-utottek-el-egy-gyereket-kaposvaron/c3ls9es https://www.blikk.hu/aktualis/kiegett-egy-lakas-a-fovarosban/1sdz6yf	media_hivatkozas	data-src
