frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
11921	<img alt=@alt class=@STYLE @STYLE @imageNUM height=@STYLE loading=lazy sizes=@STYLE src=@LINK srcset=@LINK width=@STYLE>	0.0	0.0	0.0	https://budapestbeacon.com/orban-reacted-international-criticism-pan-european-picnic-commemoration/?_sf_s&sf_paged=371 https://budapestbeacon.com/where-is-jesus-christ/ https://hu.budapestbeacon.com/kiemelt-cikkek/nem-sikerult-eltuntetni-kozpenzt-szoval-kormanyszovivo-szerint-minden-rendben/ https://budapestbeacon.com/asylum-seekers-frantically-board-trains/ https://budapestbeacon.com/what-do-a-shake-weight-mangalica-carcass-and-two-thatch-ufos-have-in-common/?_sf_s&sf_paged=293	media_hivatkozas	src
7097	<div class=fb-like data-action=like data-layout=button_count data-share=true data-show-faces=@STYLE data-size=@STYLE>	0.0	0.0	0.0	https://hu.budapestbeacon.com/egyebhirek/lemosta-palyarol-baloldal-fideszt-zugloi-idokozin-bekemenetet-tartott-ketfarku-ez-tortent-hetvegen/ https://hu.budapestbeacon.com/kiemelt-cikkek/oroszorszag-felfegyverkezese/?_sf_s&sf_paged=135 https://hu.budapestbeacon.com/kiemelt-cikkek/magyar-balint-pozsonyi-piknik-szervezoinek-besz-asa-teljes/ https://hu.budapestbeacon.com/politika/kosa-lajos-szerint-ismet-modositani-kell-az-alaptorvenyt/ https://hu.budapestbeacon.com/egyebhirek/pm-azert-nem-lesz-lakossagi-energiahatekonysagi-program-mert-kormany-bena/	null	default
2839	<img alt=@alt class=@STYLE @STYLE @imageNUM height=@STYLE loading=lazy sizes=@STYLE src=@LINK srcset=@LONG width=@STYLE>	0.0	0.0	0.0	https://hu.budapestbeacon.com/kiemelt-cikkek/hatalyos-rezsicsokkentes-masodik-hullama/?_sf_s&sf_paged=244 https://hu.budapestbeacon.com/egyeb/parades-kampanyfogas-a-fidesztol-fejlesztik-a-tapolcai-korhazat/?_sf_s&sf_paged=129 https://hu.budapestbeacon.com/politika/1-000-kulfoldi-van-bejelentve-azonos-cimre-az-onkormanyzati-valasztasok-elott/?_sf_s&sf_paged=174 https://hu.budapestbeacon.com/egyebhirek/az-europai-bizottsag-elitelte-ramil-safarov-baltas-gyilkos-felmenteset/?_sf_s&sf_paged=163 https://hu.budapestbeacon.com/kiemelt-cikkek/bosznia-hercegovina-kuzd-pusztito-arvizek-es-foldcsuszamlasok-helyreallitasi-munkalataival/?_sf_s&sf_paged=205	media_hivatkozas	src
16	<img class=@imageNUM @STYLE height=@STYLE loading=lazy sizes=@STYLE src=@LINK srcset=@LINK width=@STYLE>	0.0	0.0	0.0	https://budapestbeacon.com/felcsut-receives-60-times-funds-per-capita-neighboring-obarok/?_sf_s&sf_paged=133 https://budapestbeacon.com/transparency-international-video-accuses-trump-orban-nepotism/?_sf_s&sf_paged=132 https://budapestbeacon.com/felcsut-receives-60-times-funds-per-capita-neighboring-obarok/ https://budapestbeacon.com/peter-juhasz-denied-access-putin-protest-site-new-site-arranged-outside-restricted-area/ https://budapestbeacon.com/momentum-movement-campaigns-referendum-hungary-olympics-bid/	media_hivatkozas	src
2638	<img alt=@alt class=@STYLE @imageNUM height=@STYLE loading=lazy sizes=@STYLE src=@LINK srcset=@LINK width=@STYLE>	0.0	0.0	0.0	https://budapestbeacon.com/waning-opposition-support-causes-fidesz-numbers-to-surge-pollster-finds/?_sf_s&sf_paged=35 https://budapestbeacon.com/hungarian-society-aging-rapidly/ https://budapestbeacon.com/juncker-orban-solidarity-two-way-street/?_sf_s&sf_paged=67 https://budapestbeacon.com/fidesz-online-army-commanded-right-party-headquarters/ https://budapestbeacon.com/helsinki-committee-asks-huf-1-5-million-damages-public-apology-fidesz/	media_hivatkozas	src
3409	<br>	0.0	0.0	0.0	https://budapestbeacon.com/public-television-news-presenter-attacks-critical-news-portals-on-the-air/?_sf_s&sf_paged=348 https://budapestbeacon.com/okotars-to-sue-prosecutors-office-for-alleged-leak-of-confidential-data/?_sf_s&sf_paged=357 https://budapestbeacon.com/fidesz-party-congress-reelects-viktor-orban-party-chair/ https://budapestbeacon.com/research-development-funding-drops-30-percent-one-year/ https://hu.budapestbeacon.com/kiemelt-cikkek/beiktatasi-parti-vs-megemlekezes-budapesten-ugyanakkor-es-ugyanott-unneplik-trumpot-es-obamat/	null	default
408	<img alt=@alt class=@STYLE @imageNUM @STYLE height=@STYLE loading=lazy sizes=@STYLE src=@LINK srcset=@LONG width=@STYLE>	0.0	0.0	0.0	https://hu.budapestbeacon.com/kiemelt-cikkek/papirhajot-hajtogattak-orban-bevandorlos-levelebol-az-abcug-riportja/?_sf_s&sf_paged=116 https://hu.budapestbeacon.com/tarsadalom/tarki-kozel-felmillio-ember-nyomorog-magyarorszagon/?_sf_s&sf_paged=123 https://hu.budapestbeacon.com/kiemelt-cikkek/kreko-peter-magyarorszag-nagyon-kevesek-szamara-az-igeret-foldje/?_sf_s&sf_paged=119 https://hu.budapestbeacon.com/uzlet-es-gazdasag/kaosz-az-iskolak-korul-mindent-egyszerre-alakitana-at-a-kormanyzat/?_sf_s&sf_paged=105 https://hu.budapestbeacon.com/kiemelt-cikkek/bayer-zsolt-a-kormanyt-biralta-a-cof-sumegi-minibekemeneten/?_sf_s&sf_paged=129	media_hivatkozas	src
36	<script id=@LONG src=@LINK type=text/javascript>	0.0	0.0	0.0	https://hu.budapestbeacon.com/kiemelt-cikkek/ezert-nem-jarnak-a-fiatalok-tuntetni/ https://budapestbeacon.com/clouds-on-the-horizon-for-hungarys-minority-groups/?_sf_s&sf_paged=288 https://budapestbeacon.com/median-majority-hungarians-sympathize-us-russia/?_sf_s&sf_paged=332 https://budapestbeacon.com/clouds-on-the-horizon-for-hungarys-minority-groups/ https://hu.budapestbeacon.com/tarsadalom/median-magyarok-tobbsege-az-egyesult-allamokkal-szimpatizal-oroszorszag-helyett/?_sf_s&sf_paged=151	decompose	default
2	<script id=@infogramNUM src=@LINK type=text/javascript>	0.0	0.0	0.0	https://budapestbeacon.com/clouds-on-the-horizon-for-hungarys-minority-groups/ https://budapestbeacon.com/clouds-on-the-horizon-for-hungarys-minority-groups/?_sf_s&sf_paged=288	decompose	default
2	<p dir=ltr id=@STYLE style=@STYLE>	0.0	2.0	0.0	https://hu.budapestbeacon.com/kiemelt-cikkek/interju-lederer-sandorral-k-monitor-vezeto-magyar-korrupciofigyelo-szervezet-vezetojevel/?_sf_s&sf_paged=219 https://hu.budapestbeacon.com/kiemelt-cikkek/interju-lederer-sandorral-k-monitor-vezeto-magyar-korrupciofigyelo-szervezet-vezetojevel/	bekezdes	default
