frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
17487	<main class=post-main id=main>	643.7345456624921	30.49808429118774	0.0	https://budapestbeacon.com/fidesz-bastion-hodmezovasarhely-falls/?_sf_s&sf_paged=17 https://hu.budapestbeacon.com/kiemelt-cikkek/magyar-kormany-zold-utat-ad-vitatott-nemet-megszallasi-emlekmunek/ https://budapestbeacon.com/orban-government-squanders-private-retirement-savings-confiscated-in-2011/?_sf_s&sf_paged=252 https://hu.budapestbeacon.com/kiemelt-cikkek/szerintem-az-eu-folbomolhat-interju-ket-amerikai-politologussal-az-europai-uniorol-kulonos-tekintettel-magyarorszagra-es-lengyelorszagra/ https://budapestbeacon.com/ep-election-fidesz-jobbik-and-mszp-to-send-representatives-to-brussels-in-that-order/?_sf_s&sf_paged=394	default	default
7110	<div id=quotable-content>	637.0576652601969	34.57834036568214	0.0	https://hu.budapestbeacon.com/egyebhirek/egymilliot-fizethet-fidesz-mert-hazugsagot-allitott-helsinki-bizottsagrol/ https://hu.budapestbeacon.com/kiemelt-cikkek/megvan-goncz-arpad-temetesenek-pontos-idopontja/ https://hu.budapestbeacon.com/kiemelt-cikkek/horthy-miklos-admiralis-mellszobrat-vasarnap-leplezik-le/ https://hu.budapestbeacon.com/kiemelt-cikkek/csak-unios-jovahagyas-utan-hivjak-le-paksi-hitelt/?_sf_s&sf_paged=51 https://hu.budapestbeacon.com/egyebhirek/az-orszaggyules-helyett-harmadik-orban-kormany-hatarozza-meg-miniszteriumok-strukturajat-celjait-es-illetekessegi-koreit/?_sf_s&sf_paged=210	default	default
7171	<p style=@STYLE>	9.685260075303304	1.9845209873099987	3.293264537721378	https://hu.budapestbeacon.com/kiemelt-cikkek/kuncze-az-egyutt-el-fog-vinni-egy-ket-szazalekot-momentum-pedig-valasztas-utan-memento-lesz/?_sf_s&sf_paged=14 https://hu.budapestbeacon.com/kiemelt-cikkek/orban-bakuban-a-miniszterelnok-szerint-nagy-lehetoseg-elott-all-a-magyar-azeri-egyuttmukodes/ https://hu.budapestbeacon.com/kiemelt-cikkek/simicska-lajos-nem-leszek-orban-partnere-egy-uj-diktatura-epiteseben/?_sf_s&sf_paged=142 https://hu.budapestbeacon.com/kiemelt-cikkek/30-evre-titkositotta-parlament-paks-ii-dokumentumait/?_sf_s&sf_paged=135 https://hu.budapestbeacon.com/uzlet-es-gazdasag/jegybank-megvette-masodik-belvarosi-irodahazat-ezuttal-sajat-alapitvanya-reszere/?_sf_s&sf_paged=187	bekezdes	default
57648	<a href=@LINK>	2.8657889258950875	0.2951706910907577	2.807278656674993	https://budapestbeacon.com/hungary-granted-multinational-companies-308-million-in-tax-allowances-over-two-year-period/?_sf_s&sf_paged=75 https://budapestbeacon.com/number-high-level-government-officials-twice-high-socialists/ https://hu.budapestbeacon.com/uzlet-es-gazdasag/deloitte-stabilitas-versenykepesseg-kulcsa/?_sf_s&sf_paged=245 https://hu.budapestbeacon.com/civil-ugyek/eltunik-kitoloncolt-menedekkerok-nagy-resze/ https://budapestbeacon.com/minority-election-law-backfires-hundreds-elections-cancelled/?_sf_s&sf_paged=363	hivatkozas	href
236962	<p>	41.213705151036876	0.6815860770925296	35.24537267578768	https://budapestbeacon.com/figyelo-archives-scrubbed-internet/?_sf_s&sf_paged=114 https://budapestbeacon.com/szabolcs-kerek-barczy-accuses-antal-rogan-of-dishonesty-and-corruption/ https://hu.budapestbeacon.com/politika/az-orszaggyules-megszavazta-az-eu-kvotarol-nepszavazast/?_sf_s&sf_paged=40 https://budapestbeacon.com/fidesz-politicians-agribusiness-buy-60-of-state-lands-sold-at-public-auction-says-lmp/ https://budapestbeacon.com/fidesz-took-hungarian-media-market-years/	bekezdes	default
28106	<strong>	12.602077848146303	0.0789511136412154	12.198534120828294	https://hu.budapestbeacon.com/kiemelt-cikkek/alakul-a-simicska-lajostol-fuggetlen-jobboldali-mediabirodalom/?_sf_s&sf_paged=89 https://budapestbeacon.com/winner-lorinc-meszaros/?_sf_s&sf_paged=176 https://hu.budapestbeacon.com/civil-ugyek/pacifikalni-kell-tarsadalmat-ciganyoktol-kiallitas-es-podiumbeszelgetes-porrajmosrol/ https://budapestbeacon.com/viktor-orban-hungary-is-a-stable-island-in-a-seething-western-world/?_sf_s&sf_paged=138 https://hu.budapestbeacon.com/uzlet-es-gazdasag/lazar-megszunik-letelepedesi-kotveny/	felkover	default
13616	<b>	12.284077555816687	0.10744712103407755	11.70659518213866	https://budapestbeacon.com/how-hungarians-celebrate-holy-week/?_sf_s&sf_paged=399 https://budapestbeacon.com/viktor-orban-holds-impromptu-press-conference-after-european-council-defeat/?_sf_s&sf_paged=385 https://budapestbeacon.com/lazar-hungary-would-never-go-to-washington-with-a-bag-of-money/?_sf_s&sf_paged=246 https://hu.budapestbeacon.com/egyebhirek/deutsch-tamas-pert-nyert-juhasz-peterrel-szemben/ https://budapestbeacon.com/poor-families-hard-hit-by-hungarys-new-and-improved-welfare-system/?_sf_s&sf_paged=297	felkover	default
4900	<a href=@LINK target=@target>	3.896326530612245	0.2383673469387755	3.583061224489796	https://hu.budapestbeacon.com/kiemelt-cikkek/kapcsolatfelvetel-donald-trump-es-magyar-ketfarku-kutyapart-kozott/ https://hu.budapestbeacon.com/kiemelt-cikkek/teljes-kaosz-polgarmester-korul/ https://hu.budapestbeacon.com/politika/alaposan-beegette-szijjartot-bbc-musorvezetoje/ https://hu.budapestbeacon.com/kiemelt-cikkek/embertelen-korulmenyek-megvert-menekultek/ https://hu.budapestbeacon.com/egyebhirek/budapesten-verne-baloldal-fideszt/	hivatkozas	href
19280	<i>	10.479719917012448	0.009595435684647304	10.428578838174273	https://hu.budapestbeacon.com/egyebhirek/magyar-kormany-meg-sem-probalta-megszerezni-legnagyobb-zsakmanyt-amit-brexittel-nyerni-lehet-ez-tortent-kedden/ https://budapestbeacon.com/kkm-withdrew-huf-72-billion-securities-quaestor-just-collapse/ https://hu.budapestbeacon.com/egyebhirek/adossagban-elen-jarnak-meszaros-lorinc-cegei-ez-tortent-szerdan/ https://hu.budapestbeacon.com/egyebhirek/kosa-szerint-nyelvbotlas-volt-semjen-nepcsoportozasa-ez-tortent-hetfon/ https://budapestbeacon.com/norwegian-picnic-eea-and-norway-civil-grants-at-work/	dolt	default
34085	<em>	18.77283262432155	0.08376118527211383	18.340413671703097	https://budapestbeacon.com/they-might-be-migrants/?_sf_s&sf_paged=194 https://budapestbeacon.com/andras-simonyi-on-putins-visit-to-budapest-and-hungarys-failed-foreign-policy/ https://budapestbeacon.com/hungarian-ultranationlist-barna-csibi-seeks-ties-with-donetsk-seperatists/ https://budapestbeacon.com/ep-president-accuses-hungary-of-politicizing-refugee-crisis/ https://budapestbeacon.com/rtl-group-issues-official-position-paper-on-hungary-ad-tax/?_sf_s&sf_paged=354	kiemelt	default
