frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
54	<div class=textCols clearfix>	0.0	0.0	0.0	https://epiteszforum.hu/sony-world-photography-awards-2020--a-legjobb-epiteszeti-es-tajfotok https://epiteszforum.hu/szeged-szecesszios-palotai https://epiteszforum.hu/harom-kulonleges-alkotas-a-hazai-vasbetonepites-hoskorabol https://epiteszforum.hu/es-a-csillagos-eg--francsics-laszlo-epitesz-asztorfotos-kepei https://epiteszforum.hu/pillantasok-a-feny-fele-tiz-kulonleges-templom-a-szocializmus-eveibol	null	default
14895	<a class=anchor name=@NUM>	0.0	0.0	0.0	https://epiteszforum.hu/janesch-peter-egyseg-az-egesz-seg https://epiteszforum.hu/helyzetkep-a-budavari-fejlesztesekrol-beszamolo https://epiteszforum.hu/napfennyel-teli-epiteszhallgatoi-haz-terveket-dijazott-a-velux-magyarorszag-kft- https://epiteszforum.hu/vissza-a-termeszetbe-es-legyen-a-fovarosnak-nyaja-bardoczi-sandor-budapest-zoldfeluleteinek-helyzeterol https://epiteszforum.hu/makovecz-tortenetei-vazlat-epiteszetenek-olvasatahoz	null	default
29149	<a class=elem data-sub-html=@LONG href=@LINK style=@STYLE>	0.0	1.0	0.0	https://epiteszforum.hu/egy-modern-varos-hetven-eves-vizioja--hetkoznapok-ajkan https://epiteszforum.hu/santiago-calatrava-kiallitasa-napolyban https://epiteszforum.hu/ertek-vagy-rosz-emlek-a-budavari-palota-modern-belso-terei https://epiteszforum.hu/het-evtized-szarnyas-vaskereken--a-budapesti-gyermekvasut-allomasai https://epiteszforum.hu/metro--retro	media_tartalom	href
206	<a class=elem data-sub-html=@NUM href=@LINK style=@STYLE>	0.0	1.0	0.0	https://epiteszforum.hu/plakatok-a-15-eves-kek-tortenelembol https://epiteszforum.hu/metro--retro	media_tartalom	href
5	<a class=image href=@LINK>	0.0	1.0	0.0	https://epiteszforum.hu/velencei-epiteszeti-biennale-marton-laszlo-attila-es-jakab-csaba-kiallitasa-lesz-a-magyar-pavilonban https://epiteszforum.hu/mindenek-felett-es-elott-szeged-megovasa-az-arviztol	null	default
1	<a class=img @NUM @NUM UFIImageBlockImage href=@LINK tabindex=-1>	0.0	1.0	0.0	https://epiteszforum.hu/a-rend-kedveert	null	default
10	<a class=openGalleryModal data-goto= href=@LINK>	0.0	1.0	0.0	https://epiteszforum.hu/az-utkereses-haza1 https://epiteszforum.hu/nem-nekem-a-vevonek-kell-hogy-tetsszen https://epiteszforum.hu/felkerult-a-terkepre--budapesti-epuletekkel-indul-az-epiteszforum-kortars-epiteszeti-terkepe https://epiteszforum.hu/epiteszforum-202020-tima-zoltan-mohacsi-sandor-kossuth-ter-atalakitas-ban-david https://epiteszforum.hu/dinasztiak-az-uveges-rothok--miksan-innen-es-tul-	null	default
880	<a class=openGalleryModal standimage data-goto=@NUM href=@LINK>	0.0	1.0	0.0	https://epiteszforum.hu/vamossy-ferenc-az-esszencia-nem-bennem-volt-en-voltam-az https://epiteszforum.hu/mirol-szol-az-epiteszet https://epiteszforum.hu/a-bajnai-sandor-metternich-kastely-felujitasanak-kivitelezoje-a-pharos-95-kft https://epiteszforum.hu/eltunik-krakko-evtizedes-toronycsontvaza https://epiteszforum.hu/hivalkodas-nelkul--alaprajzi-bravurjaval-nyerte-egy-debreceni-csaladi-haz-a-wienerberger-nivodijat	null	default
1187	<a data-sub-html=@LONG href=@LINK>	0.0	1.0	0.0	https://epiteszforum.hu/pillantasok-a-feny-fele-tiz-kulonleges-templom-a-szocializmus-eveibol https://epiteszforum.hu/a-mav-eszaki-jarmujavito-masodik-elete https://epiteszforum.hu/egyre-nepszerubbek-a-swedsteel-csarnokok https://epiteszforum.hu/ilyen-volt-a-2020-as-media-epiteszeti-dija-atadasa https://epiteszforum.hu/ertek-vagy-rosz-emlek-a-budavari-palota-modern-belso-terei	media_tartalom	href
15	<a data-sub-html=@NUM href=@LINK>	0.0	1.0	0.0	https://epiteszforum.hu/plakatok-a-15-eves-kek-tortenelembol https://epiteszforum.hu/metro--retro	media_tartalom	href
