frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
172	<div class=cell>	7.796511627906977	1.2965116279069768	0.0	https://epiteszforum.hu/ilyen-volt-a-2020-as-media-epiteszeti-dija-atadasa https://epiteszforum.hu/sony-world-photography-awards-2020--a-legjobb-epiteszeti-es-tajfotok https://epiteszforum.hu/korivek-es-parabolak-csodai--tiz-kulonleges-hazai-ivhid https://epiteszforum.hu/15-eves-a-berlini-betumuzeum https://epiteszforum.hu/club-aliga-ahogyan-mar-sosem-fogjuk-latni	default	default
1	<.>	19.0	5.0	6.0	https://epiteszforum.hu/a-vasarlas-fogyasztas-terei	default	default
23	<a burkolt= data-sub-html=@LONG eg= h= homlokzata.= k= style=@STYLE t= teljes=>	3.0	2.0	3.0	https://epiteszforum.hu/a-budapesti-napraforgo-utcai-kiserleti-lakotelep	default	default
1	<a burkolt= data-sub-html=@LONG eg= h= homlokzata.= k= t= teljes=>	2.0	2.0	2.0	https://epiteszforum.hu/a-budapesti-napraforgo-utcai-kiserleti-lakotelep	default	default
1	<a class=extra-authors-link href=@LINK id=@authorsNUM>	2.0	0.0	2.0	https://epiteszforum.hu/korszeru-irodaszelloztetes-kevesebb-hianyzas-jobb-teljesitmeny	hivatkozas	href
3	<a class=jeti-image__placeholder href=@LINK rel=nofollow>	14.333333333333334	0.3333333333333333	14.0	https://epiteszforum.hu/41-milliardot-koltunk-az-uj-duna-hid-terveire	hivatkozas	href
3	<a class=markup--anchor markup--p-anchor href=@LINK rel=noopener nofollow target=@target>	3.6666666666666665	0.0	3.6666666666666665	https://epiteszforum.hu/nem-oncelu-epiteszetrol-van-szo-itt-szolgalni-kell	hivatkozas	href
2	<a class=moz-txt-link-freetext href=@LINK>	1.0	0.0	1.0	https://epiteszforum.hu/talalkozzunk-oktober-16-an-este-6-kor-az-uraniaban-a-media-epiteszeti-dijan https://epiteszforum.hu/az-ybl-emlekevben-eltunt-az-ybl-dij-es-a-tobbi-allami-epiteszeti-dij	hivatkozas	href
2	<a class=mw-redirect href=@LINK title=@title>	1.0	0.0	1.0	https://epiteszforum.hu/epitesz-kongresszus-2015-es-akkor-a-hollandok	hivatkozas	href
1	<a class=new href=@LINK style=@STYLE title=@title>	2.0	0.0	2.0	https://epiteszforum.hu/mindenek-felett-es-elott-szeged-megovasa-az-arviztol	hivatkozas	href
1	<a class=new href=@LINK title=@title>	1.0	0.0	1.0	https://epiteszforum.hu/epitesz-kongresszus-2015-es-akkor-a-hollandok	hivatkozas	href
59651	<a class=openGalleryModal data-goto=@NUM href=@LINK>	0.0002179343179494057	1.0078791638027862	0.0002179343179494057	https://epiteszforum.hu/lakohazbol-lett-uj-muzeummal-orzi-orokseget-a-feher-varos https://epiteszforum.hu/klasszikus-es-patinas-templomtetok-modern-technologiaval https://epiteszforum.hu/kozos-orom https://epiteszforum.hu/iskolabol-jatekos-iroda--a-flo-architect-nyerte-az-europa-design-belsoepiteszeti-kulondijat https://epiteszforum.hu/bovul-az-opera-bastille	hivatkozas	href
1	<a class=permalink href=@LINK>	8.0	0.0	8.0	https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik	hivatkozas	href
1	<a class=profileLink href=@LINK target=@target>	1.0	0.0	1.0	https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik	hivatkozas	href
26	<a class=sdfootnoteanc href=@LINK>	1.0	1.0	0.0	https://epiteszforum.hu/elhallgatott-epizodok-a-magyar-epiteszek-20-szazadi-tortenetebol-4 https://epiteszforum.hu/a-szocialista-korszak-ipari-oroksege-ertekek-es-hasznositas	hivatkozas	href
1	<a class=sdfootnotesym href=@LINK style=@STYLE>	1.0	0.0	1.0	https://epiteszforum.hu/elhallgatott-epizodok-a-magyar-epiteszek-20-szazadi-tortenetebol-4	hivatkozas	href
25	<a class=sdfootnotesym href=@LINK>	1.0	0.0	1.0	https://epiteszforum.hu/a-szocialista-korszak-ipari-oroksege-ertekek-es-hasznositas https://epiteszforum.hu/elhallgatott-epizodok-a-magyar-epiteszek-20-szazadi-tortenetebol-4	hivatkozas	href
1	<a class=title href=@LINK target=@target>	7.0	0.0	7.0	https://epiteszforum.hu/kossuth-ter-otletpalyazat-6-8-itt-vannak-az-eredmenyek	hivatkozas	href
1	<a class=title href=@LINK>	5.0	0.0	5.0	https://epiteszforum.hu/epuletek-onallo-elettel-alejandro-aravena	hivatkozas	href
1	<a class=UFICommentActorName href=@LINK>	2.0	0.0	2.0	https://epiteszforum.hu/a-rend-kedveert	hivatkozas	href
3	<a file:= title=@title>	0.6666666666666666	0.0	0.6666666666666666	https://epiteszforum.hu/szintezis-es-megujulas https://epiteszforum.hu/veszesen-pusztul-a-gyori-orvosi-klubhaz	default	default
1	<a href=@LINK id=@LONG rel=nofollow style=@STYLE target=@target>	2.0	0.0	2.0	https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik	hivatkozas	href
14	<a href=@LINK id=@LONG rel=nofollow target=@target>	2.642857142857143	0.0	2.642857142857143	https://epiteszforum.hu/a-vasuti-sebessegrekordok-tortenete-szeged-masfel-ora-alatt https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik https://epiteszforum.hu/porlod-vagy-inkabb-szeged-mi-tortent-itt https://epiteszforum.hu/a-budapesti-lakasarak-novekedese-a-harmadik-leggyorsabb-a-vilagon	hivatkozas	href
1	<a href=@LINK id=@LONG style=@STYLE target=@target title=@title>	3.0	0.0	3.0	https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik	hivatkozas	href
2	<a href=@LINK id=@LONG target=@target title=@title>	4.5	0.0	4.5	https://epiteszforum.hu/modal-split-vagy-kaosz https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik	hivatkozas	href
2	<a href=@LINK id=@LONG target=@target>	4.5	0.0	4.5	https://epiteszforum.hu/kozlekedes-olcsobban-es-tisztabban-kerekpar-magicpie-segway-es-tarsaik	hivatkozas	href
13	<a href=@LINK id=@NUM name=@NUM target=@target>	1.0	0.46153846153846156	0.5384615384615384	https://epiteszforum.hu/a-penzugyminiszterium-palotaja https://epiteszforum.hu/kenyszeru-kitero-zajos-vastaps--malnai-bela-diszletei	hivatkozas	href
35	<a href=@LINK name=@ednrefNUM style=@STYLE title=@title>	1.0	0.0	1.0	https://epiteszforum.hu/a-sajat-mult--emlekezet-es-tortenelem-kerdeskore-az-epiteszetben https://epiteszforum.hu/kenyszeru-kitero-zajos-vastaps--malnai-bela-diszletei https://epiteszforum.hu/elhunyt-turanyi-gabor	hivatkozas	href
16	<a href=@LINK name=@ftnrefNUM title=@title>	1.0	3.9375	0.0	https://epiteszforum.hu/alkotoi-magatartasok-napjaink-magyar-epiteszeteben	hivatkozas	href
34	<a href=@LINK name=@NUM style=@STYLE title=@title>	1.0	0.2647058823529412	0.7352941176470589	https://epiteszforum.hu/elhunyt-turanyi-gabor https://epiteszforum.hu/a-sajat-mult--emlekezet-es-tortenelem-kerdeskore-az-epiteszetben https://epiteszforum.hu/kenyszeru-kitero-zajos-vastaps--malnai-bela-diszletei	hivatkozas	href
2	<a href=@LINK name=@NUM target=@target>	1.0	1.0	1.0	https://epiteszforum.hu/a-penzugyminiszterium-palotaja	hivatkozas	href
