frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
426593	<img alt=@alt data-image_height=@STYLE data-image_width=@STYLE id=@szerkfotoNUM src=@LINK>	0.0	0.0	0.0	https://femina.hu/egeszseg/orvosos-mem/ https://velvet.hu/elet/2016/09/10/az_anya_aki_ferjul_vette_a_fiat_aztan_felesegul_ment_a_lanyahoz_is/ https://index.hu/kulfold/2020/04/18/koronavirus_esztorszag_saaremaa_sziget_fertozes_baltikum/ https://index.hu/kulfold/ep/2019/07/10/alelnok_fidesz_kdnp_europai_parlament_szavazas/ https://velvet.hu/elet/2016/01/01/ezektol_robbant_fel_az_internet_2015-ben/	media_hivatkozas	src
1155443	<br>	0.0	0.0	0.0	https://index.hu/kulfold/2016/11/01/iraki_kommandosok_behatoltak_moszulba/ https://index.hu/kulfold/2018/06/06/guatemala_vulkan/ https://index.hu/belfold/evoks4874/ https://index.hu/gazdasag/2014/04/02/mar_megint_dragabb_a_tankolas/ https://index.hu/sport/motorsport/2010/06/25/talmacsi_11._a_masodik_szabadedzesen/	null	default
14067	<img alt=@alt class=imgnotext src=@LINK>	0.0	0.0	0.0	https://totalcar.hu/belsoseg/2009/10/24/es_akkor_a_tukorben_feltunt_a_maci/ https://totalbike.hu/hirek/2009/07/10/bmwscrambler/ https://index.hu/tech/cellanaplo/2008/05/30/exkluziv_kezemben_a_htc_diamond_klonja/ https://divany.hu/offline/2008/01/02/le_a_hoesesben_esernyozokkel/ https://totalcar.hu/belsoseg/2008/03/27/mega_transzport/	media_hivatkozas	src
37074	<div class=cikk-roadblock-wrapper>	0.0	1.0000269730808653	0.0	https://divany.hu/eletem/2013/07/27/tanuljon_meg_helyesen_lelegezni_futas_kozben/ https://divany.hu/offline/2018/03/11/divat_taska_ujrahasznositas/ https://divany.hu/vilagom/2013/03/31/bdc/ https://divany.hu/offline/2012/01/20/cipo/ https://divany.hu/offline/2013/06/28/kennedy/	null	default
38599	<div class=cikk-roadblock>	0.0	0.00808311096142387	0.0	https://divany.hu/szuloseg/2007/07/12/nagyszulo_megorzo_nyilik_kanadaban/ https://divany.hu/szuloseg/2010/02/12/vivaldit_jatszik_es_vibral_a_modern_pihenoszek/ https://divany.hu/2013/karacsony/dios_marcipanos_szaloncukor_hazilag/ https://divany.hu/szuloseg/2017/02/22/venne_meno_kepet_ha_gyerek_rajzolta/ https://divany.hu/lajfhekk/2015/10/14/vegyen_meno_angliai_ingatlant_a_tengerparton/	null	default
339237	<div class=share>	0.0	6.8086971645192005	0.0	https://index.hu/sport/2016/rio/2016/08/10/a_polosok_harmadik_probalkozasa_kovetkezik/parades_kezdes_decsitol/ https://index.hu/belfold/2015/09/15/menekult_lezart_hatar_roszke_valsaghelyzet_menekultvalsag/orfk_elkulonitve_kell_orizni_a_menekulteket/ https://index.hu/sport/futball/2018/vb/2018/06/23/a_vilagbajnoksag_10._napja/shaqiri_csak_elragadtak_az_erzelmek/ https://index.hu/sport/futball/2018/12/11/az_eleteert_kuzd_a_liverpool_a_barcelona_mentheti_meg_az_intert_bajnokok_ligaja/ket_meccsen_nincs_meg_gol/ https://index.hu/belfold/2011/09/19/komotosan_mentik_az_orszagot/meg_a_kiegestol_is_vedenek_az_egeszsegugyi_dolgozokat/	null	default
218651	<div class=pp_roadblock>	0.0	0.7796762877828137	0.0	https://index.hu/sport/futball/2014/vb/cikkek/pp/az_egesz_vilag_fanyalog_az_argentin-holland_miatt/ https://index.hu/belfold/elkurtuk2/befejezodott_a_vorosmarty_teri_tuntetes/ https://index.hu/sport/kezilabda/2016/05/28/veszprem-kiel/a_nemetek_a_magyar_hibakbol_elnek/ https://index.hu/gazdasag/valsag0810pp/dramaian_esett_a_disney_profitja/ https://index.hu/sport/2016/rio/2016/08/18/ujabb_eremeso_johet/meg_jobb_a_vilag_idei_legjobbja/	null	default
165972	<div class=pp_roadblock_bottom>	0.0	0.9198178005928711	0.0	https://index.hu/sport/futball/2015/05/13/mlsz-bejelentes/a_gyort_magaval_rantotta_a_quaestor_csodje/ https://index.hu/sport/2016/rio/2016/08/10/a_polosok_harmadik_probalkozasa_kovetkezik/szaznal_mar_csak_hatodik_jakabos/ https://index.hu/belfold/tuntet0917/gatyaba_razzuk_a_rendorseget/ https://index.hu/belfold/2011/07/05/orban_ad_is_kap_is_az_ujabb_ep-meghallgatason/orban_brusszel_nem_moszkva/ https://index.hu/belfold/2016/04/20/egesz_nap_sztrajkolnak_a_tanarok/egyutt_a_kormany_megvezeti_a_tanarokat/	null	default
147431	<div class=nm_thanks__logo nm_thanks__col>	0.0	1.0	0.0	https://index.hu/belfold/2015/11/27/tasnadi_laszlo_kormanytagot_akart_kivegezni_a_tek_altal_elfogott_ket_ferfi/ https://index.hu/kulfold/2017/10/29/anyjukkal_egyutt_lottek_le_a_gyerekeket_a_szomaliai_terroristak/ https://index.hu/kulfold/2020/02/27/koronavirus_del-korea_terjedes_kinanal_is_tobb_uj_eset/ https://index.hu/tudomany/til/2015/08/30/az_orszag_amit_tonkretett_a_szammisztika/ https://index.hu/belfold/2019/08/02/nemzetstrategiai_kutatointezet_szasz_jeno_kutatas_kozerdeku_adatigenyles/	null	default
147857	<img src=@LINK width=@STYLE>	0.0	0.0	0.0	https://index.hu/urbanista/2017/04/07/vennel_lakast_2_7_milliardert_terezvarosban/ https://index.hu/kultur/cinematrix/2015/11/06/vadonatuj_jelenetek_a_star_wars_7_japan_trailereben/ https://index.hu/kulfold/2014/10/12/az_usa_414_millio_dollart_kuld_a_palesztinoknak/ https://index.hu/tudomany/2017/05/12/durvabb_lehet_a_tengerek_vizszintemelkedese_mint_hittuk/ https://index.hu/belfold/2015/10/22/56_eves_motoros_no_halt_meg_dabason/	media_hivatkozas	src
266772	<span class=open_popup icon-popup image-icon>	0.0	7.497038669725458e-06	0.0	https://velvet.hu/gumicukor/2015/02/07/storygala2014/sagi_szilard_akkora_poenmester/?p=2 https://index.hu/sport/futball/2018/03/23/magyarorszag-kazahsztan_felkeszulesi_merkozes/nikolics_indult_meg_egy_elorevagott_labdara/ https://index.hu/sport/2016/rio/2016/08/17/nagy_peter_olomsuly/ https://index.hu/techtud/2018/08/20/25_ezer_alkalmazast_tavolit_el_az_apple_kinaban/ https://index.hu/kulfold/eurologus/2016/07/12/unios_balhe_keszul_a_kozgep_kizarasabol/	null	default
474550	<span class=info>	0.0	0.0	0.0	https://velvet.hu/sztori/2013/05/14/szembesitesekkel_folytatodik_a_szita-ugy_targyalasa/gyongyi_sandor_kihallgatasa_veget_ert/?p=1 https://velvet.hu/celeb/2013/02/02/story_gala/sarka_kata_ruhaja/?p=3 https://velvet.hu/celeb/2013/01/25/voice_pp/gajer_balint_hangja_elcsuszott/?p=4 https://velvet.hu/gumicukor/2015/02/07/storygala2014/egyelore_nem_erzodik_a_nagy_profilvaltas/?p=2 https://velvet.hu/celeb/2013/12/15/x-faktor_donto/osszeeskuves-elmeletek_ha_megszuletnek/?p=2	null	default
