frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
47953	<br>	0.0	0.0	0.0	https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=88 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=81 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=22 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=499 https://forum.kremmania.hu/t/gyujtemenyeink/134?page=52	null	default
425	<div class=quote-controls>	0.0	0.0	0.0	https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=89 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=368 https://forum.kremmania.hu/t/elfogyott-minden-amit-az-utobbi-idoben-elhasznaltal-vagy-fogyoban-van/114?page=17 https://forum.kremmania.hu/t/vasarlas-kulfoldon-avagy-mit-erdemes-venni/282?page=3 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=120	null	default
425	<img alt=@alt class=avatar height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/project-panning/408?page=46 https://forum.kremmania.hu/t/elso-benyomasok/586?page=15 https://forum.kremmania.hu/t/kamu-velemenyek/130?page=3 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=14 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=61	null	default
7770	<link href=@LINK itemprop=image>	0.0	0.0	0.0	https://forum.kremmania.hu/t/mit-hasznaltal-ma-ii/1345?page=33 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=183 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=109 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=174 https://forum.kremmania.hu/t/arc-deco-avagy-arcdekoracio/444?page=9	null	default
10473	<img alt=@alt data-base62-sha1=@SIMPLIFIED height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/off-topic-csevegos-baratkozos-kremmaniasok/808?page=57 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=55 https://forum.kremmania.hu/t/kupon-napok-glamour-joy/277?page=17 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=103 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=234	null	default
1825	<img class=thumbnail height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=126 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=102 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=127 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=181	null	default
2617	<div class=onebox-metadata>	0.0	0.0	0.0	https://forum.kremmania.hu/t/off-topic-csevegos-baratkozos-kremmaniasok/808?page=34 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=62 https://forum.kremmania.hu/t/konyhamuveszet-konyhamuveszek/1075 https://forum.kremmania.hu/t/elozo-havi-kedvencek/1197?page=11 https://forum.kremmania.hu/t/discontinued-azaz-mar-nem-kapni-ezert-banatos-vagyok/1563	null	default
2617	<div style=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=186 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=25 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=42 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=111 https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=5	null	default
224	<div class=instagram-images>	0.0	1.1517857142857142	0.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=81 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=38 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=177 https://forum.kremmania.hu/t/legkulonlegesebb-sminktermekek/455?page=3 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=21	null	default
390	<img class=instagram-image height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=7 https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=14 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=61 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=74 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=8	null	default
