frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute	
32	<a class=badge-wrapper bullet href=@LINK>	1.21875	2.875	0.0	https://forum.kremmania.hu/t/arc-deco-avagy-arcdekoracio/444?page=6 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=10 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=81 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=98 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=236	default	default	
9	<a class=inline-onebox href=@LINK>	3.4444444444444446	0.0	3.4444444444444446	https://forum.kremmania.hu/t/neutrogena-hydro-boost-creme-gel-ebben-az-arban-talalok-jobb-arcra-valo-kremet/1294 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=148 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=138 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=90 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=5	default	default	
7	<a class=lightbox href=@LINK rel=nofollow noopener title=@title>	1.0	8.0	0.0	https://forum.kremmania.hu/t/borapolasi-rutin/57?page=46 https://forum.kremmania.hu/t/off-topic-csevegos-baratkozos-kremmaniasok/808?page=48	default	default	
3	<a class=lightbox href=@LINK title=@title>	1.0	8.0	0.0	https://forum.kremmania.hu/t/off-topic-csevegos-baratkozos-kremmaniasok/808?page=50 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=113 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=119	default	default	
4555	<a class=mention href=@LINK>	1.0	0.0	1.0	https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=373 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=348 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=115 https://forum.kremmania.hu/t/project-panning/408?page=34 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=42	hivatkozas	href	
1985	<a class=onebox href=@LINK rel=nofollow noopener target=@target>	0.9899244332493703	0.010075566750629723	0.9899244332493703	https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=125 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=3 https://forum.kremmania.hu/t/swatchok-osszehasonlito-fotok/90?page=13 https://forum.kremmania.hu/t/csalok-a-piacteren/48 https://forum.kremmania.hu/t/kupon-napok-glamour-joy/277?page=10	default	default	
522	<a class=onebox href=@LINK target=@target>	1.0	0.0	1.0	https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=126 https://forum.kremmania.hu/t/viccek-poenok-vicces-kepek-nevessunk-egyutt/557?page=39 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=123 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=153 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=133	default	default	
70	<a href=@LINK itemprop=item>	3.8714285714285714	1.0	0.0	https://forum.kremmania.hu/t/swatchok-osszehasonlito-fotok/90?page=7 https://forum.kremmania.hu/t/pattanasos-problemas-bor-sminkelese/94?page=2 https://forum.kremmania.hu/t/borapolasi-rutin/57?page=21 https://forum.kremmania.hu/t/szemhejalapozo-szemhej-primer-nagyon-olajos-es-fedett-szemre/228 https://forum.kremmania.hu/t/szemhejalapozo-szemhej-primer-nagyon-olajos-es-fedett-szemre/228?page=6	default	default	
68692	<a href=@LINK itemprop=url>	1.0	1.0	0.0	https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=31 https://forum.kremmania.hu/t/off-topic-csak-a-pozitiv/1393?page=13 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=339 https://forum.kremmania.hu/t/youtube-beauty-guruk/85?page=23 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=189	hivatkozas	href	
368	<a href=@LINK rel=nofollow noopener target=@target title=@title>	6.211956521739131	0.0	6.211956521739131	https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=157 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=19 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=208 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=15 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=169	default	default	
2728	<a href=@LINK rel=nofollow noopener target=@target>	4.041055718475073	0.12609970674486803	4.032258064516129	https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=32 https://forum.kremmania.hu/t/tippek-es-tapasztalatok-kozeleg-a-2018-as-black-friday/118?page=7 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=4 https://forum.kremmania.hu/t/bemutatkozas-ismerkedes/112?page=36 https://forum.kremmania.hu/t/adventi-kalendariumok/561?page=28	default	default	
3184	<a href=@LINK rel=nofollow noopener>	2.011934673366834	0.008165829145728644	1.987751256281407	https://forum.kremmania.hu/t/szemhejalapozo-szemhej-primer-nagyon-olajos-es-fedett-szemre/228?page=4 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=6 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=108 https://forum.kremmania.hu/t/beauty-box-tapasztalatok-szepsegdobozok-elofizetesek/171?page=31 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=30	default	default	
303	<a href=@LINK rel=noopener target=@target title=@title>	5.270627062706271	0.0	5.270627062706271	https://forum.kremmania.hu/t/off-topic-eletmodvaltas-le-a-kilokkal/1092?page=4 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=150 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=165 https://forum.kremmania.hu/t/tippek-jotanacsok-koronavirus-idejere/911?page=62 https://forum.kremmania.hu/t/dupe-ok-smink-borapolas-illat/116?page=4	default	default	
1755	<a href=@LINK rel=noopener target=@target>	4.500854700854701	0.10142450142450142	4.500854700854701	https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=219 https://forum.kremmania.hu/t/borapolasi-rutin/57?page=29 https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=19 https://forum.kremmania.hu/t/tippek-jotanacsok-koronavirus-idejere/911?page=42 https://forum.kremmania.hu/t/youtube-beauty-guruk/85?page=50	default	default	
99	<a href=@LINK target=@target title=@title>	5.171717171717172	0.0	5.171717171717172	https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=73 https://forum.kremmania.hu/t/tippek-jotanacsok-koronavirus-idejere/911?page=19 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=78 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=77 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=52	default	default	
399	<a href=@LINK target=@target>	5.37593984962406	0.07268170426065163	5.363408521303258	https://forum.kremmania.hu/t/ajanlast-kerek/562?page=46 https://forum.kremmania.hu/t/tippek-jotanacsok-koronavirus-idejere/911?page=30 https://forum.kremmania.hu/t/koromlakkok-manikur/548?page=6 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=110 https://forum.kremmania.hu/t/vedd-a-magyart/996?page=4	default	default	
982	<a href=@LINK>	4.486761710794298	0.034623217922606926	4.364562118126273	https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=97 https://forum.kremmania.hu/t/ruha-tar-avagy-minden-a-ruhakrol/487 https://forum.kremmania.hu/t/off-topic-csevegos-baratkozos-kremmaniasok/808?page=24 https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=97 https://forum.kremmania.hu/t/tul-hypolt-termekek/446?page=8	default	default	
11	<a>	2.1818181818181817	0.18181818181818182	2.1818181818181817	https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=2 https://forum.kremmania.hu/t/uj-unboxing-kepekkel/883?page=19 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=92 https://forum.kremmania.hu/t/elfogyott-minden-amit-az-utobbi-idoben-elhasznaltal-vagy-fogyoban-van/114?page=10 https://forum.kremmania.hu/t/csalok-a-piacteren/48?page=8	default	default	
2617	<article class=onebox-body>	27.674818494459306	4.667558272831487	0.0	https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=10 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=159 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=6 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=30 https://forum.kremmania.hu/t/mivel-helyettesitheto/1235	default	default	
1405	<aside class=onebox allowlistedgeneric>	31.733807829181494	10.638434163701067	0.0	https://forum.kremmania.hu/t/off-topic-kultura-konyvklub-filmek-zenek-es-minden-mas/1053?page=8 https://forum.kremmania.hu/t/borapolasi-rutin/57?page=41 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=163 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=106 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=160	decompose	default	reklám
11	<aside class=onebox amazon>	24.272727272727273	10.818181818181818	0.0	https://forum.kremmania.hu/t/borapolasi-rutin/57?page=39 https://forum.kremmania.hu/t/off-topic-csevegos-baratkozos-kremmaniasok/808?page=17 https://forum.kremmania.hu/t/ecsetproblema-szethullo-ecseteim/426?page=3 https://forum.kremmania.hu/t/ajanlast-kerek/562?page=2 https://forum.kremmania.hu/t/discontinued-azaz-mar-nem-kapni-ezert-banatos-vagyok/1563?page=4	decompose	default	
7	<aside class=onebox googledocs>	38.714285714285715	10.0	0.0	https://forum.kremmania.hu/t/bio-kozmetikai-termekek-szakdolgozati-kerdoiv/1448 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=52 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=221 https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=332 https://forum.kremmania.hu/t/ki-szeretne-beauty-temakorben-kerdoivet-kitolteni/987	default	default	
393	<aside class=onebox instagram>	21.81933842239186	10.506361323155216	0.0	https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=77 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=36 https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=14 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=200 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=62	default	default	
5	<aside class=onebox pdf>	4.0	10.0	0.0	https://forum.kremmania.hu/t/tippek-jotanacsok-koronavirus-idejere/911?page=46 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=47 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=154 https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=177 https://forum.kremmania.hu/t/ruha-tar-avagy-minden-a-ruhakrol/487?page=19	default	default	
1	<aside class=onebox twitterstatus>	34.0	17.0	0.0	https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=41	default	default	
794	<aside class=onebox whitelistedgeneric>	32.32493702770781	9.910579345088161	0.0	https://forum.kremmania.hu/t/csalok-a-piacteren/48?page=18 https://forum.kremmania.hu/t/ruha-tar-avagy-minden-a-ruhakrol/487?page=13 https://forum.kremmania.hu/t/2019-es-sminkkihivas/222?page=17 https://forum.kremmania.hu/t/lapozo-web-oldal-es-cikk-ajanlo/489?page=59 https://forum.kremmania.hu/t/uj-termekek-varhato-kollekciok-kivansaglista-vagy-kihagyod/60?page=62	decompose	default	reklám!! de a felhasználó ágyazza be
1	<aside class=onebox wikipedia>	75.0	8.0	0.0	https://forum.kremmania.hu/t/mit-hasznaltal-ma/56?page=172	default	default	
27	<aside class=quote data-post=@NUM data-topic=@NUM>	30.25925925925926	7.2592592592592595	0.0	https://forum.kremmania.hu/t/szemhejfestekek-es-palettak-minden-ami-szemre-valo/202?page=113 https://forum.kremmania.hu/t/mi-sem-50-osan-szulettunk/58?page=5 https://forum.kremmania.hu/t/forum-hibat-eszleltel/47?page=3 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=83 https://forum.kremmania.hu/t/rendeles-kulfoldrol/135?page=74	default	default	
1	<aside class=quote no-group data-full=true data-post=@NUM data-topic=@NUM data-username=Mse>	8.0	8.0	0.0	https://forum.kremmania.hu/t/sminkjeink-avagy-smin-k-spiraciok/314?page=16	idezet	default	
1	<aside class=quote no-group data-full=true data-post=@NUM data-topic=@NUM data-username=zalla>	9.0	5.0	0.0	https://forum.kremmania.hu/t/akciok-tudsz-rola/125?page=160	idezet	default	
