frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
1849495	<div class=cikktext>	35.20325386	1.111051395	29.4642278	https://kuruc.info/r/2/91514/ https://kuruc.info/r/3/142955/ https://kuruc.info/r/2/69291/ https://kuruc.info/r/2/94283/ https://kuruc.info/r/6/136872/	bekezdes	default
391427	<b>	18.85323445	0.3473751172	18.62172257	https://kuruc.info/r/2/237320/ https://kuruc.info/r/1/25518/ https://kuruc.info/r/2/218644/ https://kuruc.info/r/4/176570/ https://kuruc.info/r/1/54215/	felkover	default
141705	<span style=@STYLE>	12.14326947	0.3516319114	11.4241417	https://kuruc.info/r/20/58587/ https://kuruc.info/r/1/159023/ https://kuruc.info/r/4/135642/ https://kuruc.info/r/1/5837/ https://kuruc.info/r/4/206809/	kiemelt	default
140837	<td>	3.021194714	3.581296108	3.013071849	https://kuruc.info/r/2/181373/ https://kuruc.info/r/4/19741/ https://kuruc.info/r/2/221319/ https://kuruc.info/r/4/196941/ https://kuruc.info/r/4/198008/	oszlop	default
139620	<tr>	3.052621401	4.630833691	0	https://kuruc.info/r/6/131916/ https://kuruc.info/r/2/96696/ https://kuruc.info/r/2/225542/ https://kuruc.info/r/6/121903/ https://kuruc.info/r/2/96810/	sor	default
124021	<a href=@LINK>	7.887083639	0.2015545754	7.2092952	https://kuruc.info/r/22/28412/ https://kuruc.info/r/7/49043/ https://kuruc.info/r/35/38339/ https://kuruc.info/r/23/140881/ https://kuruc.info/r/6/72825/	hivatkozas	href
123719	<table class=cikkkepc>	3.200098611	5.819453762	0	https://kuruc.info/r/6/186122/ https://kuruc.info/r/26/84248/ https://kuruc.info/r/2/183707/ https://kuruc.info/r/1/150221/ https://kuruc.info/r/4/153809/	table_text	default
77545	<i>	13.31936295	0.3608872268	11.71875685	https://kuruc.info/r/4/38574/ https://kuruc.info/r/6/51336/ https://kuruc.info/r/3/25781/ https://kuruc.info/r/6/50196/ https://kuruc.info/r/4/44646/	dolt	default
47669	<a href=@LINK target=@target>	2.711405735	0.2675533365	2.096687575	https://kuruc.info/r/2/59248/ https://kuruc.info/r/39/20475/ https://kuruc.info/r/1/19792/ https://kuruc.info/r/49/118886/ https://kuruc.info/r/22/92198/	hivatkozas	href
22636	<iframe allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK width=@STYLE>	0.001634564411	0.002429757908	0.0003975967485	https://kuruc.info/r/57/124137/ https://kuruc.info/r/34/157915/ https://kuruc.info/r/34/90765/ https://kuruc.info/r/34/85334/ https://kuruc.info/r/34/163121/	beagyazott_tartalom	src
15596	<strong>	14.90516799	0.5023724032	13.0539882	https://kuruc.info/r/7/55063/ https://kuruc.info/r/3/54417/ https://kuruc.info/r/49/53417/ https://kuruc.info/r/8/14896/ https://kuruc.info/r/2/62727/	felkover	default
10679	<blockquote>	65.97125199	2.751381215	0.1369042045	https://kuruc.info/r/6/192183/ https://kuruc.info/r/2/193841/ https://kuruc.info/r/6/227906/ https://kuruc.info/r/2/226267/ https://kuruc.info/r/6/205638/	idezet	default
9361	<table class=cikkkepl>	1.585941673	4.031620553	0	https://kuruc.info/r/6/195594/ https://kuruc.info/r/6/12093/ https://kuruc.info/r/50/70948/ https://kuruc.info/r/3/136198/ https://kuruc.info/r/3/5816/	table_text	default
