frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
39389	<br>	0	0	0	https://magyarnarancs.hu/kulpol/juncker-orban-nacionalizmusa-haboruhoz-vezet-118562 https://magyarnarancs.hu/hamis_dilemma/a-kivancsi-akupunktor-esete-a-tengeri-sunnel-es-a-fakirral-111257 https://magyarnarancs.hu/kultura/regen-minden-jobb-volt-megint-lehet-autot-nyerni-a-lotton-110652 https://magyarnarancs.hu/interaktiv/szuret-202106-235841 https://magyarnarancs.hu/sorkoz/woody-allen-apropo-nelkul-235088	null	default
27253	<img alt=@alt src=@LINK title=@title>	0	0	0	https://magyarnarancs.hu/hirnarancs/rogan-legujabb-ellensegei-a-pekek-93535 https://magyarnarancs.hu/kismagyarorszag/a-birosag-kimondta-torvenytelenul-mentette-fel-volt-a-szombathelyi-polgarmestere-egyik-helyetteset-a-civil-molnar-miklost-121597 https://magyarnarancs.hu/tudomany/mi-legyen-ha-leegett-gyogyir-a-voros-borre-95693 https://magyarnarancs.hu/kulpol/tudjak-maguktol-127375	media_hivatkozas	src
6422	<img alt=@alt height=@STYLE src=@LINK title=@title width=@STYLE>	0	0	0	https://magyarnarancs.hu/snoblesse/doclounge-punk-szindroma-79913	media_hivatkozas	src
1580	<i class=icon icon-card>	0	0	0	https://magyarnarancs.hu/mikrofilm/2020-legyen-mar-vege-235090 https://magyarnarancs.hu/visszhang/szalasi-minisztere-voltam-241421 https://magyarnarancs.hu/aszerk/a-csaladi-ezust-238383 https://magyarnarancs.hu/zene2/verofenyes-kedely-235465 https://magyarnarancs.hu/interaktiv/szuret-202133-241032	dolt	default
324	<img align=@STYLE alt=@alt class=cikkep_m src=@LINK>	0	0	0	https://magyarnarancs.hu/belpol/jaszladany_iskola_a_tureshataron-62584 https://magyarnarancs.hu/film2/szep_filmet_szeretnek_pacskovszky_jozsef_filmrendezo-56234 https://magyarnarancs.hu/belpol/biodizel_a_mezogazdasagi_energiahordozo_olajutok-62069 https://magyarnarancs.hu/lokal/fovarosi_strandok_vizmertek-60182 https://magyarnarancs.hu/belpol/licitalas_a_fopolgarmestersegert_elszantak_es_elszalltak-62587	media_hivatkozas	src
1286	<iframe frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0	0	0	https://magyarnarancs.hu/katasztrofa/koronavirusos-a-szent-janos-korhaz-foigazgatoja-134198 https://magyarnarancs.hu/belpol/beidezte-a-rendorseg-a-kutyapart-embereit-113306 https://magyarnarancs.hu/belpol/karacsony-megerkezett-orbanhoz-124313 https://magyarnarancs.hu/belpol/orban_kutatas-114281 https://magyarnarancs.hu/belpol/vitezy-david-parkolo-puskas-stadion-124528	beagyazott_tartalom	src
2773	<object data=@LINK height=@STYLE type=application/x-shockwave-flash width=@STYLE>	0	1.988099531	0	https://magyarnarancs.hu/snoblesse/hataron-szegenysegkonferencia-84705 https://magyarnarancs.hu/snoblesse/a-kek-angyal-az-orkenyben-84621 https://magyarnarancs.hu/snoblesse/tensnake-live-84460 https://magyarnarancs.hu/belpol/maga-zoltan-a-szeretet-es-a-politika-hegeduse-93099 https://magyarnarancs.hu/video/csak-azt-mondtak-hogy-zsido-de-akarmit-mondhattak-volna-103592	beagyazott_tartalom	data
2825	<param name=data value=@LINK>	0	0	0	https://magyarnarancs.hu/snoblesse/harcosok-filmklubja-mennyei-kiralysag-89357 https://magyarnarancs.hu/snoblesse/a-ferfiak-szexualis-vilaga-87836 https://magyarnarancs.hu/snoblesse/hay-janos-az-oazisban-98222 https://magyarnarancs.hu/snoblesse/kistehen-melankolikusok-palkonyan-81076 https://magyarnarancs.hu/snoblesse/matias-aguayo-az-a38-on-85747	null	default
2875	<param name=src value=@LINK>	0	0	0	https://magyarnarancs.hu/snoblesse/electrify-6-colin-stetson-mika-vainio-92493 https://magyarnarancs.hu/snoblesse/karosi-julia-tobias-meinhart-95859 https://magyarnarancs.hu/feketelyuk/porkolt-vagy-hanyas-magyar-lecke-kulfoldi-fiataloknak-95439 https://magyarnarancs.hu/snoblesse/campus-fesztival-akkezdetphiai-80972 https://magyarnarancs.hu/belpol/kozosen-keri-zagyva-gyula-stohl-andras-csinatalan-sandor-hajos-andras-porzse-sandor-es-masok-hogy-legyen-igazsagos-a-valasztasi-rendszer-throczy-104564	media_hivatkozas	value
46	<iframe frameborder=@NUM height=@STYLE scrolling=no src=@LINK width=@STYLE>	0	0	0	https://magyarnarancs.hu/feketelyuk/a-tenyek-az-ev-vegen-sem-tud-leallni-szerintuk-soros-az-egesz-vilagot-befolyasolna-116203 https://magyarnarancs.hu/narancsblog/a-bme-kancellarja-felajanlotta-a-diaklanyok_megtermekenyiteset-97667 https://magyarnarancs.hu/hirnarancs/nyilt-haborut-hirdetett-rezsibiztos-nemeth-szilard-a-a-civilek-ellen-102149 https://magyarnarancs.hu/feketelyuk/tarlos-kalman-olga-120426 https://magyarnarancs.hu/feketelyuk/a-nivodij-ara-gonczi-gabor-tenyek-szerint-egesz-europa-orbant-eltette-113610	beagyazott_tartalom	src
1598	<0_MDESC_div class=iframely-embed>	0	2	0	https://magyarnarancs.hu/belpol/napokon-belul-elerheto-lesz-a-vedettsegi-igazolvany-applikacioja-238375 https://magyarnarancs.hu/belpol/jovo-pentekig-lehet-meg-a-motogp-versenypalya-tervezesere-palyazni-235904 https://magyarnarancs.hu/elet_mod/hetvegen-ujra-a-gyalogosoke-a-rakpart-237096 https://magyarnarancs.hu/belpol/szeptemberben-arulna-csak-el-muller-cecilia-hogy-junius-elejen-hany-delta-fertozottet-talaltak-240258 https://magyarnarancs.hu/publicisztika/ezert-kellett-eroltetni-a-nyitast-telt-hazas-eb-meccseket-akar-budapesten-az-mlsz-237503	null	default
1599	<0_MDESC_div class=iframely-responsive style=@STYLE>	0	1	0	https://magyarnarancs.hu/kulpol/netanjahu-nem-tudott-kormanyt-alakitani-ellenzekbe-szorulhat-238178 https://magyarnarancs.hu/kismagyarorszag/hogyan-fogja-tudni-a-fidesz-felreallitani-boldog-istvant-241522 https://magyarnarancs.hu/belpol/a-debreceni-aranybika-szallo-is-a-mathias-corvinus-collegium-tulajdonaba-kerul-238254 https://magyarnarancs.hu/belpol/lekaszalta-a-fidelitas-a-vadviragos-budapest-program-gyepet-nem-hittek-el-hogy-nem-gaz-ami-no-239649 https://magyarnarancs.hu/mikrofilm/a-family-guy-alkotoja-levetette-volna-a-musorrol-sorozatat-orban-uj-kedvenc-riportere-miatt-240725	null	default
231	<0_MDESC_a data-iframely-url=@iframeNUM href=@LINK>	0	0	0	https://magyarnarancs.hu/belpol/ket-napja-nemult-el-a-klubradio-most-megis-folytatodik-a-frekvenciajuk-palyaztatasa-236010 https://magyarnarancs.hu/villamnarancs/george-clooney-harmadszorra-is-odamondott-orbannak-234616 https://magyarnarancs.hu/gazdasag/tobb-mint-70-millio-euroert-vett-varsoi-irodahazakat-a-magyar-indotek-csoport-237472 https://magyarnarancs.hu/kulpol/a-szlovakok-visszakuldtek-oroszorszagnak-a-vasarolt-szputnyik-vakcinakat-239805 https://magyarnarancs.hu/belpol/muller-cecilia-gozerovel-folyik-a-vedooltasok-beadasa-236546	hivatkozas	href
1261	<0_MDESC_a data-iframely-url=@LONG href=@LINK>	0	0	0	https://magyarnarancs.hu/belpol/az-egeszsegugyi-dolgozok-szakmai-szervezetei-is-beengednek-az-ujsagirokat-a-korhazakba-237302 https://magyarnarancs.hu/belpol/titok-hol-ellenorzik-a-maganrepulok-utasainak-utlevelet-237283 https://magyarnarancs.hu/lokal/nokrol-nevezne-el-negy-kozteruletet-a-ii-kerulet-236401 https://magyarnarancs.hu/mikrofilm/uj-zeland-helyett-nagy-britanniaban-forgatjak-tovabb-a-a-gyuruk-ura-sorozatot-240916 https://magyarnarancs.hu/kulpol/a-magyar-kormany-szerint-a-homofob-torveny-miatt-nem-fogadtak-meg-el-a-helyreallitasi-tervet-240052	media_hivatkozas	href
376	<0_MDESC_iframe allow=@LONG allowfullscreen=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0	0	0	https://magyarnarancs.hu/belpol/zold-utat-kapott-az-orosz-vakcina-235761 https://magyarnarancs.hu/belpol/28-milliard-forintot-koltott-rogan-antal-kormanyzati-kommunikaciora-238315 https://magyarnarancs.hu/belpol/tasz-a-homofobtorvennyel-szemben-jogos-a-polgari-engedetlenseg-239316 https://magyarnarancs.hu/belpol/egy-online-felmeres-szerint-tobb-mint-szazezer-alsos-diak-nem-ment-hetfon-iskolaba-237761 https://magyarnarancs.hu/belpol/mellar-tamas-moge-all-be-a-jobbik-a-pecsi-elovalasztason-239185	beagyazott_tartalom	src
39	<iframe src=@LINK style=@STYLE>	0	0	0	https://magyarnarancs.hu/belpol/ujra-akcioban-a-magyar-gogyi-unios-penzbol-epult-a-vendeghaz-a-polgarmester-sogornoje-lakik-benne-111317 https://magyarnarancs.hu/belpol/staudt-gabor-szerint-rombolja-a-musor-minoseget-ha-arrol-kerdezik-bocsanatot-kell-e-kernie-a-jobbiknak-a-ciganysagtol-es-a-zsidosagtol-105866 https://magyarnarancs.hu/belpol/korozs-nem-fogjak-kapni-a-bolcsodei-teritesi-dijat-nem-fognak-kapni-beiskolazasi-koltseget-ez-itt-nemcsak-egy-kajajegyrol-szol-112022 https://magyarnarancs.hu/belpol/igy-kampanyol-a-kormanypart-pocs-janos-nemkivanatos-romakrol-beszelt-110265 https://magyarnarancs.hu/villamnarancs/a-roman-csendorseg-35-ezer-forintra-buntette-az-orbant-kifutyulo-not-es-az-ot-foldre-ranto-ferfit-is-105566	beagyazott_tartalom	src
