frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
1	<blockquote class=twi ter-tweet data-lang=en>	14.0	4.0	4.0	https://maszol.ro/sport/78553-miami-open-halep-ig-es-cristea-is-bejutott-a-harmadik-forduloba	social_media	default
4	<blockquote class=twitter-tweet data-conversation=none data-lang=en>	24.5	4.0	4.0	https://maszol.ro/kulfold/96531-szaznal-is-tobb-halottja-van-a-repul-szerencsetlensegnek https://maszol.ro/kulfold/66410-negyvenegy-halalos-aldozata-van-az-isztambuli-repteren-tortent-merenyleteknek https://maszol.ro/kulfold/86132-hatalmas-foldrenges-razta-meg-mexikot https://maszol.ro/belfold/85055-nyolc-ember-halt-meg-az-angliai-autopalya-balesetben	social_media	default	
2	<blockquote class=twitter-tweet data-conversation=none data-lang=eu>	46.0	4.5	4.0	https://maszol.ro/belfold/96593-kozzetettek-a-hivatalos-fotokat-a-hercegi-eskuv-r-l	social_media	default	
1	<blockquote class=twitter-tweet data-conversation=none data-lang=hu>	18.0	4.0	3.0	https://maszol.ro/kulfold/61826-lezuhant-egy-utasszallito-oroszorszagban	social_media	default	
1	<blockquote class=twitter-tweet data-conversation=none data-lang=ro>	17.0	4.0	4.0	https://maszol.ro/kulfold/119750-tobb-mint-felmillioan-tuntettek-a-nyugdijreform-ellen-franciaorszagban	social_media	default	
19	<blockquote class=twitter-tweet data-lang=en-gb>	22.0	4.157894736842105	3.8947368421052633	https://maszol.ro/sport/83882-ujra-topcsapatta-valhat-az-ac-milan https://maszol.ro/sport/82720-eastbourne-i-tenisztorna-halep-a-nyolc-kozott-woznicaki-var-ra https://maszol.ro/belfold/83190-brusszelbe-latogatott-a-roman-kormanyf https://maszol.ro/kulfold/83513-torok-miniszter-ankara-celja-a-teljes-jogu-unios-tagsag https://maszol.ro/sport/78211-europa-liga-belgiumba-utazhat-a-united	social_media	default	
604	<blockquote class=twitter-tweet data-lang=en>	24.822847682119207	4.077814569536423	3.956953642384106	https://maszol.ro/kulfold/83098-trump-visszatancolt-az-amerikai-orosz-kiberbiztonsagi-egyuttm-kodest-l https://maszol.ro/sport/106327-dohai-tenisztorna-megizzasztotta-a-vilagels-t-a-legjobb-magyar https://maszol.ro/sport/80610-halep-es-cirstea-is-bejutott-a-madridi-torna-negyeddont-jebe https://maszol.ro/sport/67552-a-juventus-90-millio-euroert-megszerezte-gonzalo-higuaint https://maszol.ro/belfold/61383-lovoldozes-volt-pittsburgh-mellett-tobben-meghaltak	social_media	default	
76	<blockquote class=twitter-tweet data-lang=eu>	31.960526315789473	5.171052631578948	3.960526315789474	https://maszol.ro/eletmod/115903-meghekkeltek-a-twitter-vezet-jenek-twitter-fiokjat https://maszol.ro/gazdasag/97123-hirtelen-tortent-europa-szerte-nem-lehet-visa-kartyaval-fizetni https://maszol.ro/kulfold/96823-lehet-hogy-megis-lesz-donald-trump-kim-dzsongun-talalkozo https://maszol.ro/kulfold/102175-veszharangot-kongat-antonio-guterres-ensz-f-titkar https://maszol.ro/kulfold/108724-volt-ugyvedje-michael-cohen-szerint-donald-trump-csalo-hazudozo-es-rasszista	social_media	default	
555	<blockquote class=twitter-tweet data-lang=hu>	20.01981981981982	3.5891891891891894	2.4162162162162164	https://maszol.ro/sport/107278-aus-open-nem-tudta-megvedeni-tavaly-szerzett-cimet-a-babos-mladenovic-paros https://maszol.ro/kulfold/113514-ket-beteget-partra-szallitottak-a-sea-watch-3-hajorol-amely-tovabbra-sem-kothet-ki https://maszol.ro/kulfold/89153-granatot-hajitottak-francia-katonakra-kevessel-macron-erkezese-el-tt https://maszol.ro/belfold/113498-visszavontak-a-programot-ami-levetk-zteti-a-n-ket https://maszol.ro/eletmod/94222-az-eu-ban-el-n-k-atalagosan-29-evesen-szulik-els-gyermekuket	social_media	default	
37	<blockquote class=twitter-tweet data-lang=ro>	30.513513513513512	3.918918918918919	4.27027027027027	https://maszol.ro/belfold/90292-eltevedt-utas-miatt-fordult-vissza-a-los-angeles-tokio-repul-jarat https://maszol.ro/kultura/120599-tarantino-tarolt-a-netflix-lemaradt-a-77-golden-globe-galan https://maszol.ro/kulfold/83049-huszezer-rend-r-biztositja-a-g20-zaronapjat-hamburgban https://maszol.ro/kulfold/85507-elerheti-hetvegen-floridat-az-irma-hurrikan https://maszol.ro/kulfold/71845-mobil-konzuli-egysegeket-kuld-olaszorszag-foldrenges-sujtotta-tersegebe-romania	social_media	default	
284	<blockquote class=twitter-video data-lang=en>	22.468309859154928	4.485915492957746	3.8380281690140845	https://maszol.ro/kulfold/82050-meg-mindig-oltjak-a-londoni-toronyhazat https://maszol.ro/sport/70688-puskas-ota-nem-hajtott-vegre-ekkora-fegyvertenyt-magyar-labdarugo https://maszol.ro/kulfold/73592-obama-elnok-az-amerikai-japan-viszonyt-meltatta-a-pearl-harbor-elleni-tamadas-evfordulojan https://maszol.ro/kulfold/82416-donald-trump-megolesevel-viccel-dott-johnny-depp https://maszol.ro/belfold/70495-fegyveres-alrend-rok-tortek-ra-kim-kardashianra	social_media	default	
