frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
4	<a href=@LINK rel=attachment @NUM>	0.0	1.0	0.0	https://www.mosthallottam.hu/erzelemertelem/2016-ev-munkaszuneti-napjai-munkarend/ https://www.mosthallottam.hu/erdekes/nomad-ekszerek/ https://www.mosthallottam.hu/egyszeru-recept/egyszeru-kenyerlangos/ https://www.mosthallottam.hu/erdekes/nomad-ekszerek/	null	default
1	<a id=@hlTargetNUM name=@NUM>	0.0	0.0	0.0	https://www.mosthallottam.hu/termeszet/izgalmas-esemenyek-a-naprendszerben-2016-ban/	null	default
2	<a id=@NUM name=@NUM>	0.0	0.0	0.0	https://www.mosthallottam.hu/erdekes/napi-10-perc-semmitteves-csodat-tesz/ https://www.mosthallottam.hu/erdekes/szelfikbol-meggazdagodni-egyaltalan-nem-lehetetlen/	null	default
1	<a name=ugrás>	0.0	0.0	0.0	https://www.mosthallottam.hu/hasznos_info/magyar-keresztnevek-utonevek-noi-ferfi/	null	default
11929	<br>	0.0	0.0	0.0	https://www.mosthallottam.hu/hasznos_info/magyar-keresztnevek-utonevek-noi-ferfi/ https://www.mosthallottam.hu/erzelemertelem/bitcoin-szindroma-a-valami-ami-nemsemmi/ https://www.mosthallottam.hu/hasznos_info/munkaszuneti-napok-2021-ev-munkarend/ https://www.mosthallottam.hu/hasznos_info/magyar-keresztnevek-utonevek-noi-ferfi/ https://www.mosthallottam.hu/allat/macskak-tipikus-jellegzetes-szokasok/	null	default
417	<div class=fb-like data-action=like data-href=@LINK data-layout=button_count data-share=false data-show-faces=@STYLE>	0.0	0.0	0.0	https://www.mosthallottam.hu/tudtad-hogy/testbeszed-jelbeszed/ https://www.mosthallottam.hu/egyszeru-recept/gyumolcsleves-fozes-nelkul-egyszeruen/ https://www.mosthallottam.hu/uncategorized/nonapi-koszonto/ https://www.mosthallottam.hu/termeszet/oszi-levelek-szine-tudtad-hogy/ https://www.mosthallottam.hu/erzelemertelem/2016-ev-munkaszuneti-napjai-munkarend/	null	default
417	<div class=fb-like data-action=recommend data-href=@LINK data-layout=button_count data-share=false data-show-faces=@STYLE>	0.0	0.0	0.0	https://www.mosthallottam.hu/termeszet/szunyogcsipes-tudtad-hogy/ https://www.mosthallottam.hu/mondasok-es-bolcsessegek/a-harmadik-het-mondasa/ https://www.mosthallottam.hu/termeszet/csillaghullas-naptar-hullocsillag/ https://www.mosthallottam.hu/erdekes/oleles-hasznos-pozitiv-jotekony-hatasai/ https://www.mosthallottam.hu/allat/macskak-tipikus-jellegzetes-szokasok/	null	default
6	<div class=popup_icon_container popup_icon_container_notext imgnotext>	0.0	1.3333333333333333	0.0	https://www.mosthallottam.hu/erzelemertelem/csodasuli-hejokereszturon-stanford-adaptacio-kitoreshez/ https://www.mosthallottam.hu/erdekes/napi-10-perc-semmitteves-csodat-tesz/ https://www.mosthallottam.hu/erdekes/napi-10-perc-semmitteves-csodat-tesz/ https://www.mosthallottam.hu/erdekes/a-stresszkezeles-3-alapszabalya/ https://www.mosthallottam.hu/erdekes/napi-10-perc-semmitteves-csodat-tesz/	null	default
1	<div class=rt-articleinfo>	0.0	0.0	0.0	https://www.mosthallottam.hu/erzelemertelem/butacska-szitakoto/	null	default
417	<div class=the_champ_counter_container the_champ_horizontal_counter>	0.0	5.0	0.0	https://www.mosthallottam.hu/egyszeru-recept/knedli-egyszeruen-gyorsan-garnirung/ https://www.mosthallottam.hu/erdekes/bacilusok-immunrendszer-feherversejt/ https://www.mosthallottam.hu/egyszeru-recept/sult-keszeg-paprikas-lisztben/ https://www.mosthallottam.hu/erzelemertelem/van-egy-baratom/ https://www.mosthallottam.hu/erzelemertelem/lesz-kezfogo-kell-hogy-legyen-hosszu-katinka-vs-kiss-laszlo-reload-2-0/	decompose	default
