frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
1	<blockquote class=imgur-embed-pub data-id=opNnoOx lang=en>	4.0	2.0	0.0	https://www.mosthallottam.hu/erdekes/ne-higgy-a-szemednek-ez-tetszeni-fog/	beagyazott_tartalom	default
369	<p class=wp-caption-text id=@attachmentNUM>	8.964769647696476	0.16802168021680217	8.718157181571815	https://www.mosthallottam.hu/erdekes/megcsalas-atveres-idejeben-felismerheted/ https://www.mosthallottam.hu/termeszet/ev-madara-2020/ https://www.mosthallottam.hu/erdekes/google-allathangok-keresoben/ https://www.mosthallottam.hu/tudtad-hogy/tudtad-hogy-a-legkisebb/ https://www.mosthallottam.hu/allat/a-kutyak-latjak-a-magneses-teret-is/	bekezdes	default
51	<figcaption>	10.196078431372548	0.0196078431372549	10.176470588235293	https://www.mosthallottam.hu/erdekes/hetvegi-neurozis-faradtsag/ https://www.mosthallottam.hu/allat/legidosebb-allat-legoregebb-eloleny/ https://www.mosthallottam.hu/termeszet/ev-vadviraga-2020/ https://www.mosthallottam.hu/hasznos_info/munkaszuneti-napok-2021-ev-munkarend/ https://www.mosthallottam.hu/termeszet/ev-osmaradvanya-2020/	bekezdes	default
3	<p align=@STYLE>	31.333333333333332	10.0	1.0	https://www.mosthallottam.hu/termeszet/termeszetbarat/ https://www.mosthallottam.hu/termeszet/termeszetbarat/ https://www.mosthallottam.hu/termeszet/termeszetbarat/	bekezdes	default
3	<p class=@NUM agj data-tid=@NUM id=@NUM>	52.0	0.0	52.0	https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2017-kiszamitasa-kiadasa-mennyi/ https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2018-kiszamitasa-kiadasa-mennyi/ https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2019-kiszamitasa-kiadasa/	bekezdes	default
3	<p class=@NUM agj data-tid=@NUM>	16.0	0.0	16.0	https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2018-kiszamitasa-kiadasa-mennyi/ https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2017-kiszamitasa-kiadasa-mennyi/ https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2019-kiszamitasa-kiadasa/	bekezdes	default
12	<p class=@STYLE>	26.583333333333332	2.25	13.25	https://www.mosthallottam.hu/erdekes/tudtad-hogy-vak-vagy/ https://www.mosthallottam.hu/erdekes/tudtad-hogy-vak-vagy/ https://www.mosthallottam.hu/erdekes/tudtad-hogy-vak-vagy/ https://www.mosthallottam.hu/erdekes/tudtad-hogy-vak-vagy/ https://www.mosthallottam.hu/erdekes/tudtad-hogy-vak-vagy/	bekezdes	default
434	<p style=@STYLE>	29.119815668202765	1.532258064516129	24.716589861751153	https://www.mosthallottam.hu/erdekes/google-keresesi-funkciokamirol-nem-is-tudtal-ii-resz/ https://www.mosthallottam.hu/erdekes/husvet-eredete-husveti-szokasok-husveti-szimbolumok/ https://www.mosthallottam.hu/erdekes/zika-virus-keszulj-fel-sokszor-fogod-meg-hallani/ https://www.mosthallottam.hu/erdekes/macskaszemek/ https://www.mosthallottam.hu/erdekes/izi-rajder-es-easy-rider/	bekezdes	default
7172	<p>	29.83658672615728	2.5412716118237593	23.636781929726716	https://www.mosthallottam.hu/hasznos_info/tappenz-2020-betegallomany-betegszabadsag/ https://www.mosthallottam.hu/termeszet/napkelte-napnyugta-2017-naptar-adatok/ https://www.mosthallottam.hu/egyszeru-recept/makos-piskota-liszt-nelkul/ https://www.mosthallottam.hu/hasznos_info/tappenz-2020-betegallomany-betegszabadsag/ https://www.mosthallottam.hu/hasznos_info/fizetett-szabadsag-2021-ev-szabalyai-kiadasa/	bekezdes	default
9	<h1>	3.7777777777777777	0.7777777777777778	0.6666666666666666	https://www.mosthallottam.hu/erdekes/napi-10-perc-semmitteves-csodat-tesz/ https://www.mosthallottam.hu/erdekes/a-stresszkezeles-3-alapszabalya/ https://www.mosthallottam.hu/erdekes/a-stresszkezeles-3-alapszabalya/ https://www.mosthallottam.hu/erdekes/szelfikbol-meggazdagodni-egyaltalan-nem-lehetetlen/ https://www.mosthallottam.hu/erdekes/napi-10-perc-semmitteves-csodat-tesz/	cimsor	default
