frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
261059	<img href=@LINK>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1083317_koznevelesi-kerekasztal-alakul https://nepszava.hu/json/cikk.json?id=1021147_az-akacot-vedik-de-vege-a-balvanyimadasnak https://nepszava.hu/json/cikk.json?id=1105056_az-mnb-alapitvanyok-kovetkezo-ingatlanbiznisze https://nepszava.hu/json/cikk.json?id=1137686_uj-buszt-kapott-a-ferencvaros-labdarugocsapata https://nepszava.hu/json/cikk.json?id=1079539_kigyulladt-egy-irodahaz-a-viii-keruletben-fotok	media_hivatkozas	href
162440	<br>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1162771_amerika-megmutatta-trump-visszakozni-kenyszerult https://nepszava.hu/json/cikk.json?id=1053522_ma-van-a-nemzetkozi-roma-nap https://nepszava.hu/json/cikk.json?id=3089918_zart-kapuk-mogott-jatszanak-a-szegediek https://nepszava.hu/json/cikk.json?id=3000121_kulturavaltast-surget-az-uj-mvm-vezer https://nepszava.hu/json/cikk.json?id=1095869_katasztrofahelyzet-tobb-francia-megyeben	null	default
9643	<img align=@STYLE alt=@alt height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1046168_meghalt-gross-arnold https://nepszava.hu/json/cikk.json?id=1162792_oriasi-lehulest-hoz-a-hidegfront https://nepszava.hu/json/cikk.json?id=1024435_lopott-autok-illegalis-bonto-a-fovarosban-foto https://nepszava.hu/json/cikk.json?id=1067655_ez-itt-az-en-hazam-mobilapplikaciot-fejlesztett-ki-a-rendorseg https://nepszava.hu/json/cikk.json?id=1145315_komcsi-idok-kiakadt-a-polgarmester-a-jobbik-plakatok-lefestesen	media_hivatkozas	src
7	<iframe allow=autoplay allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3103687_bencsik-manfred-weber-egy-szr-ember https://nepszava.hu/json/cikk.json?id=1155932_panik-ferihegyen-veszcsuszdan-menekultek-az-utasok https://nepszava.hu/json/cikk.json?id=3047666_a-kormanykozeli-politologus-kifejtette-kocsis-mate-meg-polgarmester https://nepszava.hu/json/cikk.json?id=3007198_kilencmillioba-kerul-a-szent-korona-vitrinjenek-felujitasa https://nepszava.hu/json/cikk.json?id=1160762_erkelyrol-logo-gyereket-mentett-egy-bevandorlo-pokember-video	beagyazott_tartalom	src
36	<div class=framed framed-normal-orientation framed-normal style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1058136_dontottek-irorszagban-a-meleghazassagrol https://nepszava.hu/json/cikk.json?id=1033758_kancellarok-kontra-onkormanyzatok https://nepszava.hu/json/cikk.json?id=1066313_bekerettek-a-kkm-be-a-roman-nagykovetet https://nepszava.hu/json/cikk.json?id=1067308_tengeri-utkozet-riganal https://nepszava.hu/json/cikk.json?id=1000016_holland-magyar-gyozelemre-itelve	null	default
1945	<iframe allow=@LONG allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3098402_szerszamnyellel-fenyegette-meg-ismeroset-mikozben-autojaban-vart-a-hamburgerere-video https://nepszava.hu/json/cikk.json?id=3076409_utoljara-a-kilencvenes-evekben-volt-ilyen-megindult-a-roham-a-kormanyhivatalok-munkaugyi-osztalyain https://nepszava.hu/json/cikk.json?id=3111460_drogkereskedokre-csaptak-le-tobb-helyszinen-budapesten-videok https://nepszava.hu/json/cikk.json?id=3053709_utcan-bantalmaztak-wittinghoff-tamas-idos-apjat https://nepszava.hu/json/cikk.json?id=3112993_demeter-szilard-nincs-oda-azert-ha-muveszek-politikai-szolamokat-bofognek-fel	beagyazott_tartalom	src
326	<script async= charset=@NUM src=@LINK>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3118367_szurkolok-tortek-be-az-old-traffordra https://nepszava.hu/json/cikk.json?id=3067656_urugynokseget-hozott-letre-ausztralia https://nepszava.hu/json/cikk.json?id=3062029_robbanas-volt-a-harangtoronyban-egy-kataloniai-falusi-unnepsegen-sokan-megserultek https://nepszava.hu/json/cikk.json?id=3094257_brutalisan-verte-szet-a-rendorseg-a-tomegtunteteseket-tel-avivban https://nepszava.hu/json/cikk.json?id=3082333_zavargasok-voltak-stuttgartban-a-tamadok-rendkivuli-agresszivitassal-rontottak-ra-a-rendorokre-video	decompose	default
2153	<div class=framed framed-left framed-normal style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1000022_akar-harminc-szazalekkal-is-dragabb-lehet-a-bankolas https://nepszava.hu/json/cikk.json?id=1002929_ujravalasztjak-gabrielt-az-spd-kongresszusan https://nepszava.hu/json/cikk.json?id=1110883_lassu-forrasban-az-ertelmiseg-elitje https://nepszava.hu/json/cikk.json?id=1010589_gorog-szelmalomharc-a-hitelezokkel https://nepszava.hu/json/cikk.json?id=1032706_devizaper-az-mkb-keresete-sem-allt-meg	null	default
707	<iframe allow=autoplay; encrypted-media allowfullscreen= frameborder=@NUM height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1160258_fegyverarzenal-egy-kecskemeti-tanyan-lecsapott-a-tek-video https://nepszava.hu/json/cikk.json?id=1150598_agyoncsapott-egy-embert-a-szelviharban-kicsavarodott-fa-videok https://nepszava.hu/json/cikk.json?id=1162824_nick-cave-vilaghiru-zenesz-budapesten https://nepszava.hu/json/cikk.json?id=1152521_hosszu-katinka-mar-tudja-de-nem-mondja-video https://nepszava.hu/json/cikk.json?id=3004769_leszakadt-egy-vasuti-hid-tehervonat-vagonjai-zuhantak-a-szakadekba-video	beagyazott_tartalom	src
646	<div class=framed framed-right framed-normal style=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=1051723_vida-ildiko-selyemzsinort-kap https://nepszava.hu/json/cikk.json?id=1008946_lehalkitottak-a-nep-szavat https://nepszava.hu/json/cikk.json?id=1014606_megtorik-e-a-spanyol-motorosok-uralma https://nepszava.hu/json/cikk.json?id=1162073_kunhalmi-kulcsszerepbe-kerult https://nepszava.hu/json/cikk.json?id=1156340_a-tolerancia-belulrol-fakad	null	default
1497	<iframe allow=@LONG allowfullscreen=true frameborder=@NUM height=@STYLE scrolling=no src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://nepszava.hu/json/cikk.json?id=3117953_ujraindulnak-az-onkologiai-szurovizsgalatok https://nepszava.hu/json/cikk.json?id=3128309_ujjlenyomatot-vett-a-pecsi-rendorseg-egy-atragasztott-kormanyzati-plakatrol https://nepszava.hu/json/cikk.json?id=3133346_szekesfehervaron-epit-ujabb-sportcsarnokot-a-kormany-32-milliard-forintbol https://nepszava.hu/json/cikk.json?id=3105924_a-megszoritasok-hetszer-nagyobb-mertekben-sujtjak-az-ellenzeki-vezetesu-onkormanyzatokat https://nepszava.hu/json/cikk.json?id=3132500_uszito-matricak-miatt-tett-feljelentest-pecs-polgarmestere	beagyazott_tartalom	src
