frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
1	<img alt=@alt src=@LINK width=@STYLE>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/956-3-het-egyre-tobb-telepulesen-alacsony-a-szennyvizben-mert-koronavirus-koncentraci	media_hivatkozas	src
2	<img alt=@alt height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/442-a-wuhani-uj-koronavirus-2019-ncov-okozta-jarvany-aktualis-helyzete-az-egeszsegugyi-vilagszervezet-2020-januar-27-i-helyzetjelentese-alapjan https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/677-megerkeztek-az-ujabb-szennyvizminta-eredmenyek	media_hivatkozas	src
51	<img alt=@alt height=@STYLE src=@LINK width=@STYLE>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/951-2-het-tovabbra-is-tobbnyire-stagnalo-a-szennyvizben-mert-koronavirus-koncentracio https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/555-ovintezkedesek-varandosok-kismamak-reszere-sajat-egeszseguk-es-a-csecsemo-egeszsege-erdekeben-a-covid-19-virus-fertozessel-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/789-35-het-ujabb-telepuleseken-jelez-emelkedest-a-szennyvizben-a-koronavirus-orokitoanyaga https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/549-opportunities-to-reduce-contact-numbers-community-events-in-relation-to-covid-19-virus-infection https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/941-tobbnyire-stagnalo-a-szennyvizben-mert-koronavirus-koncentracio	media_hivatkozas	src
98	<img alt=@alt src=@LINK>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/549-opportunities-to-reduce-contact-numbers-community-events-in-relation-to-covid-19-virus-infection https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/677-megerkeztek-az-ujabb-szennyvizminta-eredmenyek https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/790-eljarasrend-a-felsooktatasi-intezmenyek-egeszsegugyi-valsaghelyzetben-torteno-mukodesehez https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/543-ovintezkedesek-gyermekek-szamara-a-covid-19-virus-fertozessel-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/567-eljarasrend-a-2020-evben-azonositott-uj-koronavirussal-kapcsolatban	media_hivatkozas	src
9	<iframe allowfullscreen=allowfullscreen frameborder=@NUM height=@STYLE src=@LINK style=@STYLE width=@STYLE>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/667-dolgozo-vedelme-erdekeben-alkalmazott-vedoeszkoz-pajzs-felvetele https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/669-az-ellatott-vedelme-erdekeben-alkalmazott-vedoeszkoz-felvetele https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/671-dolgozo-vedelme-erdekeben-alkalmazott-vedoeszkoz-vedoszemuveg-felvetele https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/672-dolgozo-vedelme-erdekeben-alkalmazott-vedoeszkoz-vedoszemuveg-levetele https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/673-orr-garat-mintavetel-folyamata	beagyazott_tartalom	src
14	<div id=@STYLE style=@STYLE>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/743-jelentos-emelkedes-a-megbetegedesek-szamaban-a-kovetkezo-1-2-hetben-tovabbra-sem-varhato https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/748-tovabbra-is-alacsony-a-szennyvizekben-mert-virus-koncentracioja https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/739-az-orszag-valamennyi-teruleten-vizsgaljuk-a-szennyvizet https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/769-30-heti-eredmenyek-a-szennyvizmintakbol-kimutathato-sars-cov-2-virussal-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/769-30-heti-eredmenyek-a-szennyvizmintakbol-kimutathato-sars-cov-2-virussal-kapcsolatban	null	default
85	<br>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/777-32-het-enyhen-novekszik-a-koronavirus-orokitoanyag-mennyisege-a-szennyvizben https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/660-munkasszallok-mukodesere-vonatkozo-kozegeszsegugyi-jarvanyugyi-szabalyok https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/789-35-het-ujabb-telepuleseken-jelez-emelkedest-a-szennyvizben-a-koronavirus-orokitoanyaga https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/586-tanacsok-elelmiszer-eloallito-letesitmenyek-uzemeltetoinek-koronavirus-jarvany-idejen https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/785-tanulok-cov-2-teszt	null	default
98	<a class=at_icon href=@LINK title=@title>	0.0	1.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/567-eljarasrend-a-2020-evben-azonositott-uj-koronavirussal-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/677-megerkeztek-az-ujabb-szennyvizminta-eredmenyek https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/684-latogatasi-es-kijarasi-tilalmat-elrendelo-hatarozat-modositasa https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/546-ovintezkedesek-magasabb-kockazatu-betegcsoportok-szamara-a-covid-19-virus-fertozessel-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/698-budapest-mellett-mar-szolnok-paks-es-szekszard-szennyvizet-is-vizsgalja-az-nnk	decompose	default
81	<br>	0.0	0.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/777-32-het-enyhen-novekszik-a-koronavirus-orokitoanyag-mennyisege-a-szennyvizben https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/660-munkasszallok-mukodesere-vonatkozo-kozegeszsegugyi-jarvanyugyi-szabalyok https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/789-35-het-ujabb-telepuleseken-jelez-emelkedest-a-szennyvizben-a-koronavirus-orokitoanyaga https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/586-tanacsok-elelmiszer-eloallito-letesitmenyek-uzemeltetoinek-koronavirus-jarvany-idejen https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/785-tanulok-cov-2-teszt	null	default
92	<a class=at_icon href=@LINK title=@title>	0.0	1.0	0.0	https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/567-eljarasrend-a-2020-evben-azonositott-uj-koronavirussal-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/677-megerkeztek-az-ujabb-szennyvizminta-eredmenyek https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/684-latogatasi-es-kijarasi-tilalmat-elrendelo-hatarozat-modositasa https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/546-ovintezkedesek-magasabb-kockazatu-betegcsoportok-szamara-a-covid-19-virus-fertozessel-kapcsolatban https://www.nnk.gov.hu/index.php/koronavirus-tajekoztato/698-budapest-mellett-mar-szolnok-paks-es-szekszard-szennyvizet-is-vizsgalja-az-nnk	decompose	default
