frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
909041	<div class=article-share-mw>	0	0	0	https://www.origo.hu/itthon/20150305-lazar-janosnak-elege-lett-a-botranyokbol.html https://www.origo.hu/auto/20040910konnyebb.html https://www.origo.hu/itthon/20040203feloldjak.html https://www.origo.hu/itthon/20021007menekulthullam.html https://www.origo.hu/sport/egyeni/20180203-verraszto-david-uszas-golden-tour-nizza-aranyerem.html	decompose	default
585775	<div class=frip-inline>	0	0	0	https://www.origo.hu/itthon/20140707-csak-tobias-jozsef-akar-az-mszp-elnoke-lenni.html https://www.origo.hu/nagyvilag/20170418-30-millio-dollart-kell-fizetnie-zagrabnak.html https://www.origo.hu/nagyvilag/20191103-vihar-miatt-140-ezer-francia-haztartasban-nincs-aram.html https://www.origo.hu/itthon/20170705-dugo-a-balaton-fele-baleset-miatt.html https://www.origo.hu/itthon/20200923-bakaistvan-es-martin-heidegger-talalkozasa-a-molnar-es-a-tapai-utca-sarkan.html	null	default
1326216	<div class=z-holder goAdverticum goaBg data-zone-key=@cikkoziNUM>	0	0	0	https://www.origo.hu/tudomany/20220202-fej-nelkuli-locsontvazat-talaltak-a-kozepkori-temetoben.html https://www.origo.hu/tudomany/20201109-charles-de-gaulle-francia-elnok-50-eve-halt-meg.html https://www.origo.hu/itthon/20181207-egett-egy-auto-az-m3mason.html https://www.origo.hu/itthon/20190613-visegradi-csucstalalkozo-nagyon-fontos-megallapodas-szuletett-budapesten.html https://www.origo.hu/itthon/20090801-megszunt-a-varakozas-a-roszkenel.html	null	default
174936	<div class=referer-tip id=article-tip>	0	0	0	https://www.origo.hu/sport/eb/2012/20120524-a-modellkent-dolgozo-monika-pietrasinska-lesz-a-focieb-haziasszonya.html https://www.origo.hu/sport/20151130-sportmusor-11-30.html https://www.origo.hu/sport/csapat/20170605-kezilabda-bl-final-four-donto-utani-nyilatkozatok.html https://www.origo.hu/sport/futball/20180205-fc-barcelona-gerard-pique-espanyol-valencia-chelsea-serules.html https://www.origo.hu/sport/loero/20171109-gyorsasagi-motoros-vb-futam-magyar-nagydij-lehet.html	null	default
98157	<img data-height=@STYLE data-src=@LINK data-width=@STYLE height=@STYLE src=@LINK width=@STYLE>	0	0	0	https://www.origo.hu/sport/egyeni/20180809-tenisz-babosek-jatek-nelkul-negyeddontosok-a-montreali-tenisztornan.html https://www.origo.hu/sport/csapat/20190915-kosarlabda-vilagbajnoksag-argentina-spanyolorszag-donto-osszefoglalo.html https://www.origo.hu/sport/laza/20200801-sportkozvetitesek-kezdodik-az-nb-ii-fakupadonto-ujraindul-az-nhl-zarul-a-serie-a.html https://www.origo.hu/sport/futball/20200722-labdarugas-minifoci-szep-golokkal-tert-vissza-a-magyar-kispalyas-focivalogatott-video.html https://www.origo.hu/sport/loero/20170924-kiss-norbi-le-mans-vasarnap.html	media_hivatkozas	data-src
175561	<div id=article-tags>	0	1.14E-05	0	https://www.origo.hu/sport/trashtalk/20211206-vezetoedzojet-es-foigazgatojat-is-kirugta-a-gyenge-szezonrajt-miatt-az-nhlcsapat.html https://www.origo.hu/sport/csapat/20210118-kezilabda-kezivb-orosz-sved-francia-es-portugal-csoportgyozelem.html https://www.origo.hu/sport/egyeni/20170923-teli-olimpia-phjongcshang-2018-dontest-hozott-az-egyesult-allamok.html https://www.origo.hu/sport/futball/20170401-kikapott-a-magyar-futsalvalogatott.html https://www.origo.hu/sport/csapat/19991110gyozelem.html	decompose	default
174321	<svg fill=none height=@STYLE viewbox=0 0 32 32 width=@STYLE xmlns=@LINK>	0	1	0	https://www.origo.hu/sport/futball/20111121-david-beckham-sorrel-es-fiaival-unnepelte-a-bajnoki-cimet-a.html https://www.origo.hu/sport/egyeni/20170914-rapport-richard-sakk-vilagkupa-nyolcaddonto.html https://www.origo.hu/sport/futball/20110124-ismet-vilagvalogatottban-az-amator-kapus.html https://www.origo.hu/sport/futball/20080121-szalma-pal-az-ujpestben-ved-tovabb.html https://www.origo.hu/sport/futball/20210208-labdarugas-folytatodik-a-magyar-kupa-osszejohet-az-ujabb-fradifeharvar-focicsata.html	null	default
174321	<path d=@LONG stroke=white stroke-linecap=round stroke-linejoin=round stroke-width=@STYLE>	0	0	0	https://www.origo.hu/sport/csapat/20190407-a-vasas-az-elso-dontos-a-noi-roplabdabajnoksagban-extraliga.html https://www.origo.hu/sport/20160716-minden-programot-toroltek-a-red-bull-air-race-budapesti-versenyhetvegejenek-szombati-napjan.html https://www.origo.hu/sport/futball/20130201-tottiekat-42re-megvertek-romaban.html https://www.origo.hu/sport/egyeni/20170430-poor-brigitta-ezustermes-a-gorog-tereptriatlon-vilagkupan.html https://www.origo.hu/sport/eb/2016/20160711-cristiano-ronaldo-szerint-ez-a-kupa-minden-bevandorloe.html	null	default
400354	<picture>	0	6	0	https://www.origo.hu/auto/20180628-jol-nezze-meg-ezt-a-ferrarit-mert-valaki-13-milliardot-fog-fizetni-erte.html https://www.origo.hu/auto/20140822-pagani-huayra-15-szulinapra.html https://www.origo.hu/itthon/20200624-potapi-kiemelkedo-az-erdeklodes-a-hatartalanul-tanulmanyi-kirandulasi-program-irant.html https://www.origo.hu/filmklub/20151105-a-spectre-csak-650-millional-kezd-el-nyereseget-termelni-james-bond-boxoffice-daniel-craig.html https://www.origo.hu/itthon/20180222-szazadveg-vaclav-klaus-nepvandorlas.html	null	default
1993515	<source media=@STYLE srcset=@LONG>	0	0	0	https://www.origo.hu/gazdasag/20190724-bristish-airways-gepen-utazik-augusztusban-sztrajk.html https://www.origo.hu/gazdasag/20151028-munkanelkuliseg-onkritika-oszinteseg-cv-networking.html https://www.origo.hu/nagyvilag/20170508-macronnak-nem-valoszinu-hogy-tenyleges-hatalma-lesz.html https://www.origo.hu/gazdasag/20150408-tizezreket-kaphat-vissza-aki-laktozerzekeny.html https://www.origo.hu/nagyvilag/20180702-merkel-kancellar-hazugsag-migracio-v4.html	null	default
394387	<img height=@STYLE loading=lazy src=@LINK width=@STYLE>	0	0	0	https://www.origo.hu/itthon/20171103-mvm-zrt-kecskemet-villamtolto-elektromos-auto-tolto.html https://www.origo.hu/tafelspicc/20190913-a-novenyi-vagy-az-allati-eredetu-feherje-a-jobb.html https://www.origo.hu/itthon/20200603-biciklizessel-es-edzessel-toltotte-elso-napjat-a-szabadulas-utan-kaiser.html https://www.origo.hu/auto/20140213-mclaren-650s-elozetes.html https://www.origo.hu/techbazis/20180518-locationsmart-telefon-bemeres-kemkedes.html	media_hivatkozas	src
244052	<span class=oai-zoom>	0	0	0	https://www.origo.hu/gazdasag/20181127-brit-kocsmak-bezartak-2001.html https://www.origo.hu/itthon/20180317-hadhazy-repules-mibol-mellebeszel.html https://www.origo.hu/nagyvilag/20160916-brusszel-nem-vonja-vissza-a-kvotakat-juncker.html https://www.origo.hu/nagyvilag/20171208-brexit-europai-unio-megallapodas.html https://www.origo.hu/filmklub/20180711-garyoldmanjessicaalbakillersanonymous.html	null	default
36207	<img alt=@alt height=@STYLE src=@LINK title=@title width=@STYLE>	0	0	0	https://www.origo.hu/techbazis/20090813-a-het-legjobb-letoltheto-szoftverei-2009-augusztus-15.html https://www.origo.hu/auto/20120314-a-versenypalyan-tovabb-el-a-saab.html https://www.origo.hu/nagyvilag/20120330-iran-noi-nindzsa-hadserege-orgyilkos-harcosok-vagy-feminista-sportolok.html https://www.origo.hu/tudomany/20120307-pikaia-gerinces-evolucio-gilisztaszeru-gerinchuros-volt-az-osszes-gerinces-ose.html https://www.origo.hu/sport/egyeni/20120130-djokovic-ez-sokkal-tobb-volt-egy-grand-slamgyozelemnel.html	media_hivatkozas	src
