frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	hivatkozas	preserved_attribute
5312352	<p>	38.46293073	0.73089095	35.26468389	https://www.origo.hu/itthon/20140217-megkezdodik-az-alairasgyujtes.html https://www.origo.hu/nagyvilag/20100831-az-internetre-vonul-a-jornal-do-brasil.html https://www.origo.hu/itthon/20190527-amikor-megunta-hogy-ismeroset-okollel-uti-egy-viperaval-verte-tovabb.html https://www.origo.hu/auto/20110127-varosnezo-buszok-budapesten-egyeztetni-akarnak-az-erdekvedok.html https://www.origo.hu/gazdasag/20141205-allamadossag-quaestor-inflacio-olajar-koltsegvetes-elemzes.html	bekezdes	default
2197095	<a href=@LINK title=@title>	1.384427164	0.0002120982479	1.383804979	https://www.origo.hu/idojaras/20130124-idojaras-elorejelzes-csutortokre-eso-ho-es-hofuvas-lesz-ejszakaig.html https://www.origo.hu/techbazis/20190913-apple-iphone-11-pro-benchmark.html https://www.origo.hu/itthon/20190311-tanari-beremeles-harminc-szazalek.html https://www.origo.hu/itthon/20040624belharc.html https://www.origo.hu/gazdasag/20220214-gazdasag-boraszat-agrar-bor.html	hivatkozas	href
1808376	<div class=goaWrap>	0.0002228518848	1.004494088	0	https://www.origo.hu/teve/20060601anna.html https://www.origo.hu/itthon/20131224-a-budapesti-kozlekedesi-kozpont-unnapi-menetrendje.html https://www.origo.hu/nagyvilag/20070609meciar.html https://www.origo.hu/gazdasag/20030723otodevel.html https://www.origo.hu/itthon/20090916-oriasharcsat-fogtak-a-tiszan-vasarosnameny-kozeleben.html	default	default
918890	<td>	5.658053739	0.4880660362	3.822951605	https://www.origo.hu/auto/20051101szalonna.html https://www.origo.hu/teve/20070823-recept-zoldsegpaprikas-kapros-turogomboccal.html https://www.origo.hu/auto/20011001aford.html https://www.origo.hu/itthon/19990608alevelbotrany.html https://www.origo.hu/sport/futball/20021001blazevic.html	oszlop	default
773467	<li>	6.797467765	0.8925190086	1.765119908	https://www.origo.hu/nagyvilag/20050519ujabb.html https://www.origo.hu/nagyvilag/20200927-a-koronavirusfertozottek-szama-3275-millio-a-halalos-aldozatoke-993-ezer-a-vilagon.html https://www.origo.hu/teve/20080704-kylie-minogue-karoly-herceg-a-brit-birodealom-rendje.html https://www.origo.hu/gazdasag/20080423-tokeexport-retfalvi-gyorgy-magyarorszag-versenykepesseg.html https://www.origo.hu/nagyvilag/20190306-giorgiameloni-europaivalasztas-sorosgyorgy.html	listaelem	default
739814	<div class=article-lead>	31.0698554	1.004526813	1.956610716	https://www.origo.hu/gazdasag/20171114-venezuela-csodbesorolas-standars-poors.html https://www.origo.hu/sport/csapat/20040113skaliczki.html https://www.origo.hu/gazdasag/20190611-ujra-csucson-a-haztartasok-fizetokepessege.html https://www.origo.hu/itthon/20020927kozlekedes.html https://www.origo.hu/itthon/20181209-tuz-volt-egy-dombovari-csaladi-hazban.html	vez_bekezdes	default
723355	<div class=email-under-article>	29	6	0	https://www.origo.hu/filmklub/20160523-nezze-meg-az-uj-a-szepseg-es-a-szornyeteg-elso-elozeteset-emma-watson-dan-stevens-disney.html https://www.origo.hu/itthon/20180223-kamion-es-kocsi-karambolozott-a-42-es-fouton.html https://www.origo.hu/gazdasag/20190318-a-kisebb-cegek-is-alaposabb-adoellenorzesre-szamithatnak-iden.html https://www.origo.hu/gazdasag/20090421-enyhe-csokkenessel-nyitott-a-bet.html https://www.origo.hu/sport/trashtalk/20201002-nba-kosarlabda-doc-rivers-philadelphia-vezetoedzo.html	decompose	default
723355	<div class=email-under-article-left>	26	3	24	https://www.origo.hu/itthon/20190911-harom-auto-karambolozott-budapest-ix-keruleteben.html https://www.origo.hu/itthon/20200606-zivatarok-miatt-adtak-ki-figyelmeztetest-tobb-megyere.html https://www.origo.hu/itthon/20160607-bantalmazas-iskola-tanar-szulo.html https://www.origo.hu/sport/futball/20110129-tisza-tibor-elhagyja-az-ujpestet-es-visszater-belgiumba.html https://www.origo.hu/itthon/20120912-mesterseges-komaban-az-abonyi-gyerekgyilkos.html	decompose	default
723355	<div class=email-under-article-title>	2	2	2	https://www.origo.hu/nagyvilag/20020805eliteltek.html https://www.origo.hu/gazdasag/20150212-fujodik-a-nagy-biotechnologiai-buborek.html https://www.origo.hu/filmklub/20180905-xmasodiktrailer.html https://www.origo.hu/sport/futball/20090924-a-magyarok-melle-allt-a-futsalszerencse.html https://www.origo.hu/nagyvilag/20010620betekinthetnek.html	decompose	default
723355	<div class=email-under-article-right>	3	1	0	https://www.origo.hu/sport/egyeni/20200211-atletika-maratoni-futas-csere-gaspar-felkeszules-a-szezonra-olimpia.html https://www.origo.hu/teve/20080502-majusi-horoszkop.html https://www.origo.hu/itthon/20180913-a-migransokat-visszatarto-orszagokat-tamogatni-kell.html https://www.origo.hu/gazdasag/20120210-csak-jovo-heten-lesz-dontes-az-ujabb-gorog-mentocsomagrol.html https://www.origo.hu/nagyvilag/20001016iteletido.html	decompose	default
