frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
12614	<br>	0.0	0.0	0.0	https://szekelyhon.ro/aktualis/minority-safepack-kovaszna-megyeben-30-ezer-tamogato-alairast-gyujtenenek-ossze https://szekelyhon.ro/aktualis/katasztrofavedelmi-felkeszitok-kulonleges-helyszinen https://szekelyhon.ro/aktualis/haztartasokat-ontott-el-a-viz-gyergyoszeken https://szekelyhon.ro/aktualis/ujabb-fordulat-megis-indul-osszel-waldorf-iskola-lengyelfalvan https://szekelyhon.ro/aktualis/katolikus-gimnazium-ervenytelenitett-hatarozat	null	default
48633	<div class=cikkimg_i playgal id=@NUM>	0.0	1.0	0.0	https://szekelyhon.ro/vilag/szatmar-megye-vonattal-utkozott-egy-kisbusz-domahidanal-a-sofor-eletet-vesztette https://szekelyhon.ro/aktualis/feny-az-alagut-vegen-befejezodhet-a-csikszeredai-megyei-surgossegi-korhaz-felujitasa https://szekelyhon.ro/aktualis/nincs-aki-megszervezze-a-falunapot-gyergyotekeropatakon https://szekelyhon.ro/aktualis/bukarestben-mondtak-uj-iskolahalozatot-kell-letrehozni-marosvasarhelyen https://szekelyhon.ro/aktualis/csaladias-es-unnepi-hangulatu-dzsesszfesztivalt-terveznek	null	default
27	<div class=cocoen>	0.0	2.0	0.0	https://szekelyhon.ro/aktualis/ket-evszak-negy-kep https://szekelyhon.ro/aktualis/tizeves-a-szekelyhon https://szekelyhon.ro/sport/teli-sportok/csikiak-a-pokljukai-biatlonversenyen https://szekelyhon.ro/aktualis/karacsony-van-es-hamar-sotetedik-de-meg-mennyire https://szekelyhon.ro/aktualis/mi-igy-keszulunk-a-telre	null	default
1	<div class=embed-container>	0.0	1.0	0.0	https://szekelyhon.ro/aktualis/interaktiv-terkepen-a-valasztasi-eredmenyek	null	default
12	<div class=itemsContainer podcast style=@STYLE>	0.0	1.0	0.0	https://szekelyhon.ro/aktualis/madefalvan-inditani-a-nemzeti-ujrakezdes-evet https://szekelyhon.ro/aktualis/langokban-allt-az-egesz-ciganytelep-tobb-szaz-ember-valt-foldonfutova https://szekelyhon.ro/aktualis/szekelyfoldi-oregotthonok-lakoit-ajandekoztuk-meg-husvetra https://szekelyhon.ro/aktualis/sok-koronavirusos-beteg-felepulesehez-nyujtottak-segitseget https://szekelyhon.ro/aktualis/elkeseredettek-a-jovojuk-miatt-aggodnak-a-csiksomlyoi-tuzvesz-karosultjai	null	default
458	<div class=itemsContainer podcast>	0.0	1.0	0.0	https://szekelyhon.ro/aktualis/jar-es-jutna-is-most-a-hargita-megyeieknek-astrazeneca-vakcina-de-nem-sokan-kerik https://szekelyhon.ro/aktualis/marosvasarhely-es-szovata-is-el-az-uj-bolcsodeepitesi-program-lehetosegevel https://szekelyhon.ro/aktualis/varjak-az-onkentesek-jelentkezeset-a-csiksomlyoi-bucsura https://szekelyhon.ro/aktualis/idei-kezdesnek-biztato-vitaktol-mentes-onkormanyzati-ules-szekelyudvarhelyen https://szekelyhon.ro/aktualis/indulnak-a-roncsauto-programok	null	default
48633	<div class=play playgal id=@NUM>	0.0	2.0	0.0	https://szekelyhon.ro/aktualis/nem-kapnak-tobb-penzt-de-kevesebbet-kell-dolgozniuk-ugyanannyiert https://szekelyhon.ro/aktualis/a-marosvasarhelyi-korhaz-alagsoraba-is-benezett-az-egeszsegugyi-miniszter https://szekelyhon.ro/aktualis/mesterseges-intelligenciara-palyaz-a-sepsiszentgyorgyi-korhaz https://szekelyhon.ro/aktualis/tombhazak-amelyek-lemaradtak-a-hoszigetelesekrol https://szekelyhon.ro/aktualis/robbanas-tortent-az-iskolaban-a-takaritono-es-egy-diak-megserult	decompose	default
35	<div class=text-center>	0.0	2.5142857142857142	0.0	https://szekelyhon.ro/aktualis/a-csapbol-is-ez-folyt-de-jogosan https://szekelyhon.ro/aktualis/gyalakuta-vagy-gyulakuta https://szekelyhon.ro/aktualis/kaufland-ugy-dontson-az-olvaso https://szekelyhon.ro/sport/jegkorong/szepit-a-progym-vagy-lezarja-a-parharcot-a-sportklub https://szekelyhon.ro/aktualis/2018-a-hosok-eve	null	default
48633	<div id=playg>	0.0	1.0	0.0	https://szekelyhon.ro/aktualis/ezekkel-az-ujdonsagokkal-szamolhatunk-juliustol-az-egeszsegugyi-ellatasban https://szekelyhon.ro/aktualis/vannak-fertozottek-akik-masok-veszelyezteteset-nem-igyekeznek-a-minimalisra-csokkenteni https://szekelyhon.ro/vilag/229-el-repesztett-az-autopalyan-egy-ideig-bucsut-mondhat-a-jogositvanyanak https://szekelyhon.ro/aktualis/keves-uj-fertozes-ket-halaleset-hargita-megyeben https://szekelyhon.ro/aktualis/igy-is-lehet-sirankozas-helyett-raszorulokon-segitettek-a-fiatalok	null	default
1	<i class=fa fa-microphone>	0.0	0.0	0.0	https://szekelyhon.ro/aktualis/etnocentrizmus	null	default
