frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
4000	<a class=innew href=@LINK target=@target>	37.13925	4.0	0.0	https://szekelyhon.ro/aktualis/pluszba-kell-fizetni-a-magyar-csatornakert https://szekelyhon.ro/aktualis/elozetes-letartoztatasba-helyeztek-a-szekelyudvarhelyi-korhaz-igazgatojat https://szekelyhon.ro/aktualis/udvarhelyszeken-megszunofelben-van-a-rajzas-gyergyoszeken-meg-tart-a-szocskejaras https://szekelyhon.ro/aktualis/igy-semmisitik-meg-a-vilaghaborus-robbanoeszkozoket https://szekelyhon.ro/aktualis/hagyomanyos-es-elektronikus-cigaretta-maradhat-minden-a-regiben	decompose	default
2	<a class=western href=@LINK>	1.0	0.5	0.5	https://szekelyhon.ro/aktualis/arvizkarosultaknak-gyujt-a-caritas	hivatkozas	href	
1	<a href=@LINK style=@STYLE target=@target>	4.0	0.0	4.0	https://szekelyhon.ro/vilag/elhunyt-id-george-bush-volt-amerikai-elnok	hivatkozas	href	
8063	<a href=@LINK target=@target>	2.13791392781843	0.0009921865310678407	2.1366736946545952	https://szekelyhon.ro/aktualis/a-szeptemberi-nap-ami-utan-igazi-oszi-ido-jon https://szekelyhon.ro/aktualis/elhunyt-penzes-jozsef-cimzetes-esperes-plebanos https://szekelyhon.ro/aktualis/harom-foldrengest-eszleltek-az-ejszaka-az-orszag-harom-kulonbozo-megyejeben https://szekelyhon.ro/aktualis/nezopont-n-julius-10-tol-pentekenkent-a-szekelyhon-youtube-csatornajan https://szekelyhon.ro/aktualis/pontosit-a-cgs-egy-ujabb-maros-megyei-aldozata-is-van-a-koronavirusnak	hivatkozas	href	
135	<a href=@LINK>	2.2666666666666666	0.13333333333333333	1.288888888888889	https://szekelyhon.ro/aktualis/alternativ-modszerekkel-segitenek-a-fogatekkal-eloknek-hatranyos-helyzetueknek-bajbajutottaknak https://szekelyhon.ro/aktualis/motivalva-terelni-a-helyes-utra-a-fiatalokat https://szekelyhon.ro/aktualis/a-dzsessz-nagyagyui-egy-helyen https://szekelyhon.ro/aktualis/benyhulni-fog-a-jarvany-mostani-kiugrasar https://szekelyhon.ro/aktualis/keszulnek-az-adventi-szeretetvacsorara	hivatkozas	href	
4	<blockquote cite=@LINK class=fb-xfbml-parse-ignore>	23.0	3.75	3.0	https://szekelyhon.ro/aktualis/csikszentsimon-polgarmestere-a-telepulesen-is-megjelent-a-koronavirus https://szekelyhon.ro/aktualis/antal-arpad-figyeljunk-es-vigyazzunk-egymasra https://szekelyhon.ro/aktualis/ujabb-visszaigazolt-eset-sepsiszentgyorgyon-haromra-emelkedett-a-koronavirus-fertozottek-szama https://szekelyhon.ro/aktualis/soha-nem-volt-meg-ilyen-kanyadi-versmondo-verseny	default	default	
1	<blockquote class=\"twitter-tweet\" data-lang=\"en\">	23.0	3.0	4.0	https://szekelyhon.ro/vilag/kelemen-csak-azokkal-a-tuntetokkel-ertunk-egyet-akik-tiszta-kozeletet-akarnak	default	default	
254	<caption>	2.9921259842519685	0.011811023622047244	2.968503937007874	https://szekelyhon.ro/vilag/hetvegi-tesztuzem-kozel-otezer-pozitiv-eredmeny-a-tobb-mint-11-ezer-mintavetelbol https://szekelyhon.ro/vilag/a-kevesebb-teszt-ellenere-is-emelkedett-a-fertozottek-szama https://szekelyhon.ro/vilag/hatezer-folott-az-uj-esetek-ketszaz-folott-az-elhunytak-szama https://szekelyhon.ro/vilag/tovabbra-is-1400-folott-a-napi-esetszam https://szekelyhon.ro/aktualis/visszaesett-a-teszteles-igy-is-1100-folott-van-az-uj-fertozottek-szama	cimsor	default	
7	<div align=@STYLE class=citate lang=hu-HU style=@STYLE>	39.285714285714285	0.0	39.285714285714285	https://szekelyhon.ro/aktualis/nulladik-nappal-rajtol-a-vibe-marosvasarhelyen https://szekelyhon.ro/aktualis/nyari-egyetem-a-sapientian-a-technikai-es-tudomanyos-ujdonsagok-mellett-a-kozelet-a-vilagpolitika-is-szoba-kerul https://szekelyhon.ro/aktualis/az-informatika-iden-sem-talalt-legyozore https://szekelyhon.ro/aktualis/arra-biztatjak-a-holgyeket-hogy-batran-pattanjanak-kerekparra https://szekelyhon.ro/aktualis/kis-btusvanyosir-koncertozon-nyaradszeredaban	default	default	
2	<div align=@STYLE class=citate lang=hu-HU>	21.5	0.0	21.5	https://szekelyhon.ro/aktualis/resztvevoi-rekordot-dontott-a-vibe-fesztival	default	default	
9	<div align=@STYLE class=citate style=@STYLE>	21.666666666666668	0.8888888888888888	5.222222222222222	https://szekelyhon.ro/aktualis/kiabrandito-valosag-az-amugy-sem-busas-fizetes-jelentos-reszet-koltjuk-elelemre https://szekelyhon.ro/aktualis/megallitjak-a-nagyernyei-balintitt-kastely-pusztulasat https://szekelyhon.ro/aktualis/a-csikszeredai-bortonbe-szallitjak-a-szekelyfoldi-terrorvad-elitelt-aktivistait https://szekelyhon.ro/aktualis/volt-egy-kis-panik-a-romaniai-turistak-koreben-a-gorog-tuzvesz-miatt https://szekelyhon.ro/aktualis/tenyleg-szukseg-van-egy-harmadik-vendeglore-a-somosteton	default	default	
4	<div align=@STYLE class=subtitle lang=hu-HU style=@STYLE>	4.75	0.0	4.75	https://szekelyhon.ro/aktualis/nyari-egyetem-a-sapientian-a-technikai-es-tudomanyos-ujdonsagok-mellett-a-kozelet-a-vilagpolitika-is-szoba-kerul https://szekelyhon.ro/aktualis/volt-egy-kis-panik-a-romaniai-turistak-koreben-a-gorog-tuzvesz-miatt	default	default	
2	<div align=@STYLE class=subtitle lang=hu-HU>	5.5	0.0	5.5	https://szekelyhon.ro/aktualis/resztvevoi-rekordot-dontott-a-vibe-fesztival	default	default	
10	<div align=@STYLE class=subtitle style=@STYLE>	4.5	0.3	3.0	https://szekelyhon.ro/aktualis/kiabrandito-valosag-az-amugy-sem-busas-fizetes-jelentos-reszet-koltjuk-elelemre https://szekelyhon.ro/aktualis/megallitjak-a-nagyernyei-balintitt-kastely-pusztulasat https://szekelyhon.ro/aktualis/tenyleg-szukseg-van-egy-harmadik-vendeglore-a-somosteton https://szekelyhon.ro/aktualis/volt-egy-kis-panik-a-romaniai-turistak-koreben-a-gorog-tuzvesz-miatt	default	default	
1	<div align=@STYLE lang=hu-HU>	21.0	0.0	21.0	https://szekelyhon.ro/aktualis/resztvevoi-rekordot-dontott-a-vibe-fesztival	default	default	
4	<div class=@NUM @NUM>	4.0	1.0	0.0	https://szekelyhon.ro/aktualis/a-hatarertek-7-celsius-fok	default	default	
1	<div class=\"entry-content\">	35.0	3.0	0.0	https://szekelyhon.ro/sport/labdarugas/nyolc-golig-jutott-az-fk-csikszereda	default	default	
14595	<div class=cikkimg_i>	4.508119218910585	2.9860911270983213	0.0	https://szekelyhon.ro/aktualis/ma-is-legyen-pelda-az-emberseg https://szekelyhon.ro/aktualis/tuzoltoautot-kapott-ajandekba-lazarfalva https://szekelyhon.ro/aktualis/fotokon-a-csiksomlyoi-tuzeset-iden-mar-a-masodik https://szekelyhon.ro/aktualis/uton-mariahoz-n-erdely-balint-elod-rendhagyo-fotokiallitasa https://szekelyhon.ro/aktualis/nagy-a-valasztek-es-jo-aron-kinaljak-a-zoldsegeket-gyumolcsoket-a-marosvasarhelyi-piacon	unwrap	default	
18	<div class=cikktext cikkpage poll>	35.55555555555556	37.5	0.0	https://szekelyhon.ro/aktualis/elovalasztasra-keszul-csikszereda https://szekelyhon.ro/aktualis/kozteri-garazsok-lebontani-vagy-sem https://szekelyhon.ro/aktualis/elovalasztasi-eredmemek https://szekelyhon.ro/aktualis/azsiai-vendegmunkasok-ellen-haborognak-ditroban https://szekelyhon.ro/aktualis/karacsony-van-es-hamar-sotetedik-de-meg-mennyire	unwrap	default	szavazás
65	<div class=cikktext cikkpage textfont jegyzeto>	402.4	17.923076923076923	0.0	https://szekelyhon.ro/aktualis/level-otthonrol-haza https://szekelyhon.ro/aktualis/az-ujev-elso-napja-az-uj-elolenyfajta-szuletesnapja https://szekelyhon.ro/aktualis/nomen-est-omen https://szekelyhon.ro/aktualis/mikor-tavolitjak-mar-el-a-kereszteket https://szekelyhon.ro/aktualis/hes-menni-tovabb-megis	default	default	
50901	<div class=cikktext cikkpage textfont>	159.60757156048015	7.964951572660655	0.007445826211665783	https://szekelyhon.ro/aktualis/ket-auto-utkozott-ossze-csikszeredaban-egy-szemely-elhunyt https://szekelyhon.ro/aktualis/ot-evbe-telt-mig-eladhatova-valtak-a-szekelyudvarhelyi-anl-lakasok https://szekelyhon.ro/aktualis/megvan-belgium-is-ejfelkor-zarul-a-nemzeti-regios-alairasgyujtes https://szekelyhon.ro/aktualis/masodik-hete-eg-a-tozeg-csikszereda-hataraban https://szekelyhon.ro/aktualis/begyulladt-a-kiaramlo-gaz-a-vegyipari-kombinatnal	default	default	
28364	<div class=cikktext cikkpage>	32.18396559018474	2.0473487519390776	0.0	https://szekelyhon.ro/aktualis/gyalog-kerekparon-szekeren-es-lohaton-fedezhetok-fel-haromszek-rejtett-csodai https://szekelyhon.ro/aktualis/kezdodik-a-ciganytalalkozo-sepsiszentgyorgyon https://szekelyhon.ro/aktualis/az-oktatas-aktualis-problemairol-vetitenek-filmeket-csikszeredaban https://szekelyhon.ro/aktualis/tolva-jutni-a-celba-improvizalt-jarmuvek-versenyeznek-kozmason https://szekelyhon.ro/aktualis/egy-nap-alatt-haromszor-riasztottak-tarlotuzhoz-a-kovaszna-megyei-tuzoltokat	unwrap	default	
1	<div class=citate dir=ltr style=@STYLE>	18.0	0.0	18.0	https://szekelyhon.ro/aktualis/az-adatvarazslo	idezet	default	
3	<div class=citate dir=ltr>	23.0	0.0	23.0	https://szekelyhon.ro/aktualis/veget-ert-a-pulzus-n-ertekeltettuk-a-muveszekkel-az-alkotasaikat	idezet	default	
6	<div class=citate style=@STYLE>	19.833333333333332	0.0	19.833333333333332	https://szekelyhon.ro/aktualis/galaesttel-zarul-a-szekelyudvarhelyi-musical-kurzus https://szekelyhon.ro/aktualis/megismerni-azokat-akiknek-ormeny-felmenoi-attettek-eletuket-egy-masik-orszagba https://szekelyhon.ro/aktualis/meg-ket-hetig-latogathato-a-szekelyudvarhelyi-lego-kiallitas https://szekelyhon.ro/aktualis/a-kozteri-viragok-is-megsinylik-a-csapadekos-idojarast https://szekelyhon.ro/aktualis/felmerult-hogy-zsogodfurdon-helyeznek-el-a-tuzkarosultak-egy-reszet-a-lakok-tiltakoznak-ellene	idezet	default	
13243	<div class=citate>	25.452389941856076	0.0023408593219059128	25.44597145661859	https://szekelyhon.ro/aktualis/egyedul-fektetik-be-a-koronavirusos-gyermeket-a-korhazba-ha-a-szulok-nem-fertozottek https://szekelyhon.ro/aktualis/havi-harom-negyszaz-lejt-kapnak-vissza-a-tanitok https://szekelyhon.ro/aktualis/tarthatatlan-a-jelenlegi-allapot-ezert-dontottek-ugy-hogy-fellepnek-a-guberalok-ellen https://szekelyhon.ro/aktualis/csikszeredai-konyvvasar-a-magyar-muvelodes-es-kultura-erositese https://szekelyhon.ro/vilag/clearservice-n-itthon-otthont-teremtunk-x	idezet	default	
1	<div class=fb-post data-href=@LINK data-show-text=false data-width=@STYLE>	25.0	5.0	0.0	https://szekelyhon.ro/aktualis/soha-nem-volt-meg-ilyen-kanyadi-versmondo-verseny	default	default	
3	<div class=fb-post data-href=@LINK data-show-text=true data-width=@STYLE>	22.333333333333332	4.666666666666667	0.0	https://szekelyhon.ro/aktualis/ujabb-visszaigazolt-eset-sepsiszentgyorgyon-haromra-emelkedett-a-koronavirus-fertozottek-szama https://szekelyhon.ro/aktualis/antal-arpad-figyeljunk-es-vigyazzunk-egymasra https://szekelyhon.ro/aktualis/csikszentsimon-polgarmestere-a-telepulesen-is-megjelent-a-koronavirus	default	default	
3658	<div class=firstrowblock>	12.426189174412247	0.058228540185893934	12.323400765445598	https://szekelyhon.ro/aktualis/egesz-tersegeket-szolgalnanak-ki-a-hianypotlo-kisvagohidak https://szekelyhon.ro/aktualis/nepi-hagyomanyok-az-orbaiszeki-forgacs-fesztivalon https://szekelyhon.ro/aktualis/orszagos-jarvanynaplo-csokkent-az-elhalalozasok-szama https://szekelyhon.ro/aktualis/kulon-megjutalmazzak-szekelyudvarhelyen-a-veradokat https://szekelyhon.ro/aktualis/tobb-napon-lesznek-gepjarmuvezetoi-vizsgak	default	default	
