frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
1833	<img>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/12/23/nem-csillapodik-a-jarvany-a-magyarok-megis-megrohamoztak-az-uzleteket/elo https://telex.hu/koronavirus/2020/11/30/koronavirus-percrol-percre-legfontosabb-hirek-covid-19-osszefoglalo/elo https://telex.hu/koronavirus/2020/12/03/koronavirus-percrol-percre-pp-magyarorszag-vilagszerte-1/elo https://telex.hu/koronavirus/2020/11/24/koronavirus-percrol-percre-magyarorszag-kulfold-1/elo https://telex.hu/koronavirus/2020/11/30/koronavirus-percrol-percre-legfontosabb-hirek-covid-19-osszefoglalo/elo	null	default
467	<img alt=@alt class=pointer-none loading=lazy src=@LINK srcset=@LONG>	0.0	0.0	0.0	https://telex.hu/sport/2021/05/01/fradi-mezokovesd-meccs-nezokkel-ujranyitas-vedettsegi-igazolvany https://telex.hu/koronavirus/2021/02/18/haziorvos-oltas-hetvegi-munka-kormanyhivatal-sara-botond-vakcina-koronavirus https://telex.hu/koronavirus/2021/04/14/sinopharm-kinai-vakcina-oltas-antitest-sejtes-immunitas-vedettseg-teszt-sarkadi-balazs-vizsgalat https://telex.hu/koronavirus/2020/10/17/angela-merkel-mindenki-maradjon-otthon https://telex.hu/koronavirus/2020/11/09/tovabbra-is-nyitva-maradnak-a-templomok-a-kijarasi-tilalomhoz-igazodnak-a-misek	media_hivatkozas	src
1201	<img loading=lazy src=@LINK srcset=@LONG>	0.0	0.0	0.0	https://telex.hu/koronavirus/2021/03/19/alig-eltem-es-kozben-az-lattam-a-neten-hogy-nincs-is-jarvany-epp-az-oltastol-lesz-birkanep-a-magyar https://telex.hu/koronavirus/2021/01/15/kina-trollhadsereg-cenzura-internet-kozossegi-media https://telex.hu/koronavirus/2021/01/23/vakcina-hozzaferes-elosztas-igazsagtalansag-szegeny-orszagok-oltas-nelkul-who https://telex.hu/koronavirus/2021/03/01/brit-tanulmany-elso-dozis-pfizer-astazeneca-betegseg-megelozes-80-szazalek-hatasossag https://telex.hu/sport/2020/10/04/koronavirus-szoboszlai-csapataban-ki-kell-hagynia-a-bulgaria-elleni-valogatott-meccset	media_hivatkozas	src
4	<img loading=lazy sizes=@STYLE src=@LINK srcset=@LONG>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/11/13/koronavirus-lockdown-kijarasi-tilalom-korlatozo-intezkedesek-fertozottek-halottak https://telex.hu/koronavirus/2020/10/31/szlovakia-tomeges-teszteles-tomott-sorok https://telex.hu/koronavirus/2020/10/31/koronavirus-oktober-31-3908-fertozott	media_hivatkozas	src
1	<img loading=lazy src=@LINK srcset=>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/10/31/uj-szabalyok-november-2-maszk-vendeglatohelyek-birsag-rendorseg	media_hivatkozas	src
474	<img src=@LINK srcset=@LONG>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/12/24/intenziv-osztaly-koronavirus-8-honap https://telex.hu/koronavirus/2020/10/29/9-europai-varosvezeto-kozos-levelben-fordult-az-unios-intezmenyvezetokhoz https://telex.hu/koronavirus/2020/11/06/semmelweis-egyetem-gyogyszerszabadalom-fluvoxamin-tudohegesedes-koronavirus https://telex.hu/koronavirus/2020/11/14/dania-koronavirus-17-millio-nyerc-mutacio-kiirtas-prem https://telex.hu/koronavirus/2020/11/03/a-legfontosabb-hirek-a-koronavirusrol-kedde/elo	media_hivatkozas	src
201	<img alt=@alt class=pointer-none src=@LINK srcset=@LONG>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/11/29/koronavirus-magyarorszag-vilag-november-29/elo https://telex.hu/koronavirus/2020/12/15/allami-hekkerek-is-vivjak-a-vakcinahaborut https://telex.hu/koronavirus/2020/10/31/ausztria-lezaras-keszul-keddtol https://telex.hu/koronavirus/2020/11/07/koronavirus-fertozottek-halottak-lelegeztetogep-orvos-korhaz-orban-viktor https://telex.hu/koronavirus/2020/10/09/koronavirus-percrol-percre-covid-19-jarvany-vedooltas	media_hivatkozas	src
1227	<img alt=@alt data-v-5cb55fae= src=@LINK>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/11/29/koronavirus-magyarorszag-vilag-november-29/elo https://telex.hu/koronavirus/2020/12/15/koronavirus-percrol-percre-magyarorszag-vilagszerte-2/elo https://telex.hu/koronavirus/2020/11/13/koronavirus-percrol-percre-magyarorszag-vilagszerte/elo https://telex.hu/koronavirus/2020/12/09/koronavirus-percrol-percre-vilagszerte-magyarorszag-2/elo?oldal=2 https://telex.hu/koronavirus/2020/11/24/koronavirus-percrol-percre-magyarorszag-kulfold-1/elo	media_hivatkozas	src
4	<img sizes=@STYLE src=@LINK srcset=@LONG>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/11/13/koronavirus-lockdown-kijarasi-tilalom-korlatozo-intezkedesek-fertozottek-halottak https://telex.hu/koronavirus/2020/10/31/koronavirus-oktober-31-3908-fertozott https://telex.hu/koronavirus/2020/10/31/szlovakia-tomeges-teszteles-tomott-sorok	media_hivatkozas	src
1	<img src=@LINK srcset=>	0.0	0.0	0.0	https://telex.hu/koronavirus/2020/10/31/uj-szabalyok-november-2-maszk-vendeglatohelyek-birsag-rendorseg	media_hivatkozas	src
