frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
4	<0_MDESC_a href=@LINK title=@title>	0.0	1.0	0.0	https://vs.hu/sport/osszes/miguel-herrera-a-membirodalom-uj-szupersztarja-0624 https://vs.hu/sport/osszes/miguel-herrera-a-membirodalom-uj-szupersztarja-0624 https://vs.hu/sport/osszes/ez-volt-a-vb-memekben-eddig-video-0712 https://vs.hu/sport/osszes/ez-volt-a-vb-memekben-eddig-video-0712	hivatkozas	href
1	<0_MDESC_img a= alt=@alt azt= class=_vs_responsive csak= data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE kib= majd= p=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/ragad-az-aszfalt-es-csorog-a-veritek-0708	media_hivatkozas	data-src	
1	<0_MDESC_img a= alt=@alt class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE defence= f= kievben= maidan= self= t= tagjai= unit=>	0.0	0.0	0.0	https://vs.hu/kozelet/osszes/ukrajna-ujra-sorsfordito-napok-elott-kepek-0301	media_hivatkozas	data-src	
1	<0_MDESC_img a= alt=@alt class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE el= foly= majdnem= sz= ugarit=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/el-az-alkoholista-impotens-isten-1217	media_hivatkozas	data-src	
1	<0_MDESC_img a= alt=@alt class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE harcolj= mercedes= michael= oldal= olvashat= tov=>	0.0	0.0	0.0	https://vs.hu/sport/osszes/tenyleg-ebresztik-schumachert-0130	media_hivatkozas	data-src	
3	<0_MDESC_img alt=@alt and= bring= christians= class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE house= jews= muslims= of= one= to= together=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/zsinagoga-mecset-templom-harom-az-egyben-0622 https://vs.hu/magazin/osszes/zsinagoga-mecset-templom-harom-az-egyben-0622 https://vs.hu/magazin/osszes/zsinagoga-mecset-templom-harom-az-egyben-0622	media_hivatkozas	data-src	
5	<0_MDESC_img alt=@alt annual= cannes= class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE festival= film= fury= mad= max:= premiere= road= the=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/chewbacca-viaszfrizurajara-harman-figyelnek-a-het-kepei-0516	media_hivatkozas	data-src	
8	<0_MDESC_img alt=@alt annual= cannes= class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE festival= film= haute= la= premiere= tete= the=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515 https://vs.hu/magazin/osszes/osvart-andrea-nem-kovetett-el-divatbuntenyt-0515	media_hivatkozas	data-src	
1	<0_MDESC_img alt=@alt at= by= class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE electric= hall= hawkins= lady= moderated= siriusxm= soundgarden= studios= taylor= town= with=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/ahol-a-rock-n-roll-szuletik-legendas-studiok-a-vilagban-0521	media_hivatkozas	data-src	
1	<0_MDESC_img alt=@alt at= class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE emission= in= mist= polar= research= station= the= utsteinen= zero=>	0.0	0.0	0.0	https://vs.hu/magazin/osszes/na-itt-tenyleg-hideg-van-0104	media_hivatkozas	data-src	
1	<0_MDESC_img alt=@alt az= benedek= class=_vs_responsive data-height=@STYLE data-mheight=@STYLE data-mwidth=@STYLE data-src=@LINK data-width=@STYLE els= helyzetbe= hogy= ker= kezdve= meccs= meccst= minden= mondta= olyan= r= tibor=>	0.0	0.0	0.0	https://vs.hu/sport/osszes/akik-a-kemeny-munkaban-erzik-jol-magukat-0402	media_hivatkozas	data-src	
