frequency	tag	average_word_count	average_descendant_num	immediate_texts_average_length	URL_example	normal_name	preserved_attribute
83	<u>	5.566265060240964	0.13253012048192772	5.493975903614458	https://vs.hu/kozelet/osszes/elhittuk-amit-a-partok-mondanak-es-kiegett-az-agyunk-0320 https://vs.hu/kozelet/osszes/nem-veletlenul-nezik-ki-celorszagaikat-a-menekultek-0923 https://vs.hu/kozelet/osszes/nem-veletlenul-nezik-ki-celorszagaikat-a-menekultek-0923 https://vs.hu/magazin/osszes/kiegeszitettem-a-festok-eletmuvet-interju-a-milliardos-muhamisitoval.1-1008 https://vs.hu/kozelet/osszes/lesz-4-meteres-kerites-a-magyar-szerb-hataron-0617	alahuzott	default
10	<sub>	1.0	0.0	1.0	https://vs.hu/sport/osszes/mit-adott-nekunk-a-szenzacios-fifa-helyezes-1206 https://vs.hu/gazdasag/osszes/ezek-az-orszagok-szennyezik-a-leginkabb-a-levegot-1205 https://vs.hu/sport/osszes/mit-adott-nekunk-a-szenzacios-fifa-helyezes-1206 https://vs.hu/gazdasag/osszes/ezek-az-orszagok-szennyezik-a-leginkabb-a-levegot-1205 https://vs.hu/gazdasag/osszes/ezek-az-orszagok-szennyezik-a-leginkabb-a-levegot-1205	alsoindex	default
22	<del>	1.3636363636363635	0.0	1.3636363636363635	https://vs.hu/sport/osszes/uj-szezonhoz-uj-ikon-kell-0521 https://vs.hu/magazin/osszes/varjuk-kovacs-bela-elso-regenyet-0522 https://vs.hu/magazin/osszes/szintipop-tobb-napos-habbal-jon-a-pet-shop-boys-budapestre-0506 https://vs.hu/magazin/osszes/onimadova-tesz-a-facebook-0102 https://vs.hu/magazin/osszes/onimadova-tesz-a-facebook-0102	athuzott	default
10	<strike>	2.1	0.0	2.1	https://vs.hu/sport/osszes/orult-felido-utan-jutott-kiraly-kupa-elodontobe-a-barca-0128 https://vs.hu/sport/osszes/robbenek-szetalaztak-tottiekat-as-roma-bayern-1-7-videok-1021 https://vs.hu/sport/osszes/robbenek-szetalaztak-tottiekat-as-roma-bayern-1-7-videok-1021 https://vs.hu/kozelet/osszes/amerikai-turne-nehez-lesz-beskatulyazni-ferenc-papat-0924 https://vs.hu/sport/osszes/orult-felido-utan-jutott-kiraly-kupa-elodontobe-a-barca-0128	athuzott	default
4559	<0_MDESC_p class=description>	3.7067339328800175	0.0	3.7067339328800175	https://vs.hu/kozelet/osszes/valamilyen-hazamenos-zenet-be-kellett-volna-tenni-1118 https://vs.hu/kozelet/osszes/100-ezer-torokkal-buktatnak-meg-az-orban-kormanyt-0110 https://vs.hu/magazin/osszes/szepseg-es-szornyeteg-megvan-az-audi-megcsinalta-a-felnott-valtozatot-1126 https://vs.hu/magazin/osszes/eb-re-fozni-0710 https://vs.hu/sport/osszes/szettrollkodjak-a-magyar-szurkolok-a-hertha-oldalat-0720	bekezdes	default
418	<0_MDESC_p style=@STYLE>	19.770334928229666	1.0933014354066986	3.2440191387559807	https://vs.hu/magazin/osszes/az-ev-amikor-ra-kellett-jonnunk-hogy-a-kozossegi-media-nem-a-valosag-1231 https://vs.hu/sport/osszes/sportolok-ahogy-meg-sosem-lattad-oket-1206 https://vs.hu/sport/osszes/15-evesen-kerult-az-arsenal-u18-ba-david-beckham-fia-0215 https://vs.hu/sport/osszes/meghalt-az-antarktiszt-egyedul-atszelni-probalo-brit-kalandor-0125 https://vs.hu/sport/osszes/mell-utan-orrmutet-var-a-vilagranglista-2-teniszezonore-0124	bekezdes	default
829	<0_MDESC_p>	15.870928829915561	0.5826296743063932	15.324487334137515	https://vs.hu/kozelet/osszes/szocibol-lett-fideszberenc-antihos-majd-a-tanartuntetesek-sztarja-0219 https://vs.hu/kozelet/osszes/orban-bolcs-akart-maradni-ezert-hallgatott-a-menekultugyben-0903 https://vs.hu/magazin/osszes/kim-dotcom-visszakapja-millioit-0417 https://vs.hu/sport/osszes/nem-usztuk-meg-itt-a-suarezing-0626 https://vs.hu/sport/osszes/orult-amokfuto-vagy-meg-nem-ertett-zseni-0812	bekezdes	default
41	<address>	7.048780487804878	0.0	7.048780487804878	https://vs.hu/kozelet/osszes/orosz-csapatosszevonasok-az-ukran-hatarnal-0313 https://vs.hu/kozelet/osszes/osszehivnak-simon-miatt-a-nemzetbiztonsagi-bizottsagot-0314 https://vs.hu/kozelet/osszes/osszehivnak-simon-miatt-a-nemzetbiztonsagi-bizottsagot-0314 https://vs.hu/kozelet/osszes/harminc-raketat-lottek-ki-az-eszak-koreaiak-0322 https://vs.hu/kozelet/osszes/osszehivnak-simon-miatt-a-nemzetbiztonsagi-bizottsagot-0314	bekezdes	default
19	<div class=ad_holder_text article_banner id=@holderNUM>	69.3157894736842	1.0	69.15789473684211	https://vs.hu/gazdasag/osszes/ugy-szabalyoznak-a-lakaskiadast-mintha-szalloda-lenne-1114 https://vs.hu/kozelet/osszes/menekulteket-bantalmazo-rendoroket-iteltek-el-0316 https://vs.hu/kozelet/osszes/letelepedesi-kotveny-mar-akciosan-aruljak-0210 https://vs.hu/kozelet/osszes/nem-vizsgalja-a-vagyonosodast-a-nav-0206 https://vs.hu/kozelet/osszes/orban-kinyirja-simicskat-betiltjak-a-reklamoszlopokat-0313	bekezdes	default
63	<div class=article__summary summary>	23.952380952380953	0.9523809523809523	17.095238095238095	https://vs.hu/gazdasag/osszes/az-arabok-dontottek-a-kanadaiak-ongyilkossagba-menekulnek-1208 https://vs.hu/magazin/osszes/beszel-pandaul-megfejtettek-a-mackok-nyelvet-1107 https://vs.hu/magazin/osszes/beszel-pandaul-megfejtettek-a-mackok-nyelvet-1107 https://vs.hu/kozelet/osszes/az-oroszok-lebuktattak-a-torokok-fegyverszallitasat-az-iszlam-allamnak-0401 https://vs.hu/kozelet/osszes/elokerultek-az-elso-felvetelek-a-san-bernardinoi-terroristak-lakasarol-1204	bekezdes	default
